,Arabic,English
0,أما بعد فإن فن التاريخ من الفنون التي تتداوله الأمم والأجيال وتشد إليه الركائب والرحال، وتسمو إلى معرفته السوقة والأغفال، وتتنافس فيه الملوك والأقيال.,"HISTORY is a discipline widely cultivated among nations and races. It is eagerly sought after. The men in the street, the ordinary people, aspire to know it. Kings and leaders vie for it."
1,وتتساوى في فهمه العلماء والجهال، إذ هو في ظاهره لا يزيد على أخبار عن الأيام والدول، والسوابق من القرون الأول، تنمو فيها الأقوال، وتضرب فيها الأمثال، وتطرف بها الأندية إذا غصها الاحتفال، وتؤدي لنا شأن الخليقة كيف تقلبت بها الأحوال، واتسع للدول فيها النطاق والمجال، وعمروا الأرض حتى نادى بهم الارتحال، وحان منهم الزوال.,"Both the learned and the ignorant are able to understand it. For on the surface history is no more than information about political events, dynasties, and occurrences of the remote past, elegantly presented and spiced with proverbs. It serves to entertain large, crowded gatherings and brings to us an understanding of human affairs. (It shows) how changing conditions affected (human affairs), how certain dynasties came to occupy an ever wider space in the world, and how they settled the earth until they heard the call and their time was up."
2,وفي باطنه نظر وتحقيق، وتعليل للكائنات ومبادئها دقيق، وعلم بكيفيات الوقائع وأسبابها عميق، فهو لذلك أصيل في الحكمة عريق، وجدير بأن يعد في علومها وخليق.,"The inner meaning of history, on the other hand, involves speculation and an attempt to get at the truth, subtle explanation of the causes and origins of existing things, and deep knowledge of the how and why of events. (History,) therefore, is firmly rooted in philosophy. It deserves to be accounted a branch of (philosophy)."
3,وإن فحول المؤرخين في الإسلام قد استوعبوا أخبار الأيام وجمعوها، وسطروها في صفحات الدفاتر وأودعوها، وخلطها المتطفلون بدسائس من الباطل وهموا فيها وابتدعوها، وزخارف من الروايات المضعفة لفقوها ووضعوها،,"The outstanding Muslim historians made exhaustive collections of historical events and wrote them down in book form. But, then, persons who had no right to occupy themselves with history introduced into those books untrue gossip which they had thought up or freely invented, as well as false, discredited reports which they had made up or embellished."
4,واقتفى تلك الآثار الكثير ممن بعدهم واتبعوها، وأدوها إلينا كما سمعوها، ولم يلاحظوا أسباب الوقائع والأحوال ولم يراعوها، ولا رفضوا ترهات الأحاديث ولا دفعوها، فالتحقيق قليل، وطرف التنقيح في الغالب كليل، والغلط والوهم نسيب للأخبار وخليل، والتقليد عريق في الآدميين وسليل،,"Many of their successors followed in their steps and passed that information on to us as they had heard it. They did not look for, or pay any attention to, the causes of events and conditions, nor did they eliminate or reject nonsensical stories. Little effort is being made to get at the truth. The critical eye, as a rule, is not sharp. Errors and unfounded assumptions are closely allied and familiar elements in historical information. Blind trust in tradition is an inherited trait in human beings."
5,والتطفل على الفنون عريض طويل، ومرعى الجهل بين الأنام وخيم وبيل، والحق لا يقاوم سلطانه، والباطل يقذف بشهاب النظر شيطانه، والناقل إنما هو يملي وينقل، والبصيرة تنقد الصحيح إذا تمقل، والعلم يجلو لها صفحات القلوب ويصقل.,"Occupation with the (scholarly) disciplines on the part of those who have no right is widespread. But the pasture of stupidity is unwholesome for mankind. No one can stand up against the authority of truth, and the evil of falsehood is to be fought with enlightening speculation. The reporter merely dictates and passes on (the material). It takes critical insight to sort out the hidden truth; it takes knowledge to lay truth bare and polish it so that critical insight may be applied to it."
6,هذا وقد دون الناس في الأخبار وأكثروا، وجمعوا تواريخ الأمم والدول في العالم وسطروا، والذين ذهبوا بفضل الشهرة والإمامة المعتبرة، واستفرغوا دواوين من قبلهم في صحفهم المتأخرة، هم قليلون لا يكادون يجاوزون عدد الأنامل، ولا حركات العوامل،,"Many systematic historical works have been composed, and the history of nations and dynasties in the world has been compiled and written down. But there are very few (historians) who have become so well known as to be recognized as authorities, and who have replaced the products of their predecessors by their own works. They can almost be counted on the fingers of the hands; they are hardly more numerous than the vowels in grammatical constructions (which are just three)."
7,مثل ابن إسحاق والطبري وابن الكلبي ومحمد بن عمر الواقدي وسيف بن عمر الأسدي وغيرهم من المشاهير، المتميزين عن الجماهير، وإن كان في كتب المسعودي والواقدي من المطعن والمغمز ما هو معروف عند الأثبات. ومشهور بين الحفظة الثقات، إلا أن الكافة اختصتهم بقبول أخبارهم، واقتفاء سننهم في التصنيف واتباع آثارهم،,"There are, for instance, Ibn Ishaq; at-Tabari; Ibn al-Kalbi; Muhammad b. ‘Umar al- Wagidi; Sayf b. ‘Umar al-Asadi; al-Mas’udi, and other famous (historians) who are distinguished from the general run (of historians) .It is well known to competent persons and reliable experts that the works of al-Masudi and al-Waqidi are suspect and objectionable in certain respects. However, their works have been distinguished by universal acceptance of the information they contain and by adoption of their methods and their presentation of material."
8,والناقد البصير قسطاس نفسه في تزييفهم فيما ينقلون أو اعتبارهم. فللعمران طبائع في أحواله ترجع إليها الأخبار، وتحمل عليها الروايات والآثار.,"The discerning critic is his own judge as to which part of their material he finds spurious, and which he gives credence to. Civilization, in its (different) conditions, contains (different) elements to which historical information may be related and with which reports and historical materials may be checked."
9,ثم إن أكثر التواريخ لهؤلاء عامة المناهج والمسالك، لعموم الدولتين صدر الإسلام في الآفاق والممالك. وتناولها البعيد من الغايات في المآخذ والمتارك ومن هؤلاء من استوعب ما قبل الملة من الدول والأمم، والأمر العمم. كالمسعودي ومن نحا منحاه.,"Most of the histories by these (authors) cover everything because of the universal geographical extension of the two earliest Islamic dynasties and because of the very wide selection of sources of which they did or did not make use. Some of these authors, such as al-Mas’idi and historians of his type, gave an exhaustive history of the pre-Islamic dynasties and nations and of other (pre- Islamic) affairs in general."
