,Arabic,English
0,بِسْمِ اللَّهِ الرَّحْمنِ الرَّحِيمِ,"In the Name of God, the Merciful and Compassionate"
1,تولّاك الله بحفظه، وأعانك على شكره، ووفقك لطاعته، وجعلك من الفائزين برحمته.,"May God protect you, guide you to obey Him and give thanks & bless you with the glory of His mercy."
2,ذكرت، حفظك الله أنك قرأت كتابي في تصنيف حيل لصوص النهار، وفي تفصيل حيل سرّاق الليل، وأنك سددت به كل خلل، وحصّنت به كل عورة.,You told me – may God bless and keep you – that you had read my book on the diverse craft of daylight robbers and varieties of night-time graft and that it had taught you how to guard your back and cover all your weak points.
3,وتقدمت، بما أفادك من لطائف الخدع، ونبّهك عليه من غرائب الحيل، فما عسى ألا يبلغه كيد، ولا يجوزه مكر.,"By alerting you to the most devious kinds of double-cross and cunning, you were now so well-informed, you declared, that you would fall for almost nothing."
4,وذكرت أن قدر نفعه عظيم، وأن التقدم في درسه واجب. وقلت:,You stated that the book was highly edifying and practical and ought to be required reading for everyone.
5,أذكر لي نوادر البخلاء في باب الجد، لأجعل الهزل مستراحا، والراحة جماما، فإن للجد كدا يمنع من معاودته، ولا بدّ لمن التمس نفعه من مراجعته.,"“Now tell me tales of misers and advise me of the arguments of skinflints”, you subsequently said, proposing that I dwell upon the funny side no less than on the serious, to afford amusement and diversion. Too much gravitas is hard work for the reader, you thought, and puts him off – and a book can benefit only insofar as it gets read."
6,وذكرت ملح «الحرامي»، واحتجاج «الكندي»، ورسالة «سهل بن هارون»، وكلام «ابن غزوان»، وخطبة «الحارثي»، وكلّ ما حضرني من أعاجيبهم وأعاجيب غيرهم.,"I spoke of Harami’s witty arguments and Kindi’s rationalisations, Sahl ibn Haroun’s epistle, Ibn Ghazwan’s preaching and Harithi’s polemic – in fact, everything known to me about the eccentricities of these men and others of their kind."
7,ولم سموا البخل اصلاحا والشحّ اقتصادا، ولم حاموا على المنع، ونسبوه إلى الحزم؛ ولم نصبوا للمواساة، وقرنوها بالتضييع؟ ولم جعلوا الجود سرفا، والأثرة جهلا ؟ ولم زهدوا في الحمد، وقلّ احتفالهم بالذم؟,Why do they call avarice ‘ improvement’ and meanness ‘economy’? Why do they embrace cupidity and equate it with resolve while condemning generosity by likening it to waste? Why do they portray benevolence as extravagance and depict unselfishness as folly? Why are they so indifferent to the praise or blame of others?
8,ولم استضعفوا من هش للذكر، وارتاح للبذل؟ ولم حكموا بالقوة لمن لا يميل الى ثناء، ولا ينحرف عن هجاء؟,"Why do they dismiss as weak the man who likes to give and who enjoys a name for hospitality, and respect as strong the man who will not seek out praise or spare himself ridicule?"
9,ولم احتجوا لظلف العيش على لينه، ولمرّه على حلوه؟ ولم لم يستحيوا من رفض الطيّبات في رحالهم مع استهتارهم بها في رحال غيرهم؟ ولم تتابعوا في البخل؟ ولم اختاروا ما يوجب ذلك الإسم، مع أنفتهم من ذلك الإسم؟,"Why do they advocate an austere, bitter lifestyle over one that is easy and sweet? How can they feel no shame at forbidding fine food from their own tables while relishing it on the tables of others? Why are they so in thrall to avarice and choose a lifestyle that deserves the name of miser but object to being called one?"
10,ولم رغبوا في الكسب، مع زهدهم في الإنفاق؟ ولم عملوا، في الغنى، عمل الخائف من زوال الغنى، ولم يفعلوا في الغنى عمل الراجي لدوام الغنى؟ ولم وفروا نصيب الخوف، وبخسوا نصيب الرجاء، مع طول السلامة، وشمول العافية؟,"What makes them so keen to profit and so grudging of expense? Why do they behave as if afraid their wealth will vanish instead of having faith that it will last? Why are they filled with foreboding and so bereft of hope, despite enjoying robust, good health and financial security?"
11,والمعافى أكثر من المبتلى؛ وليست الفوائد أقل من الحوائج.,"There are more healthy men than sick, after all, and good fortune is no less common than bad."
12,بل كيف يدعو الى السعادة من خصّ نفسه بالشقوة، فكيف ينتحل نصيحة العامة، من بدأ بغشّ الخاصة؟ ولم احتجوا، مع شدة عقولهم، لما أجمعت الأمة على تقبيحه؟,How can anyone who brings misery on himself move others to happiness or the man who cheats his family claim to have the common good at heart? Why should otherwise intelligent and perceptive men defend with such rigour and applaud with such vigour what society unanimously condemns?
13,ولم فخروا، مع اتساع معرفتهم، بما أطبقوا على تهجينه ؟ وكيف يفطن عند الاعتلال له، ويتغلغل عند الاحتجاج عنه، إلى الغايات عنه، الى الغايات البعيدة والمعاني اللطيفة، ولا يفطن لظاهر قبحه، وشناعة اسمه، وخمول ذكره وسوء أثره على أهله.,"How can they display so much insight and eloquence, subtlety and wit to justify something they fail to grasp is demeaning, degrading, invidious and vile?"
14,وكيف، وهو الذي يجمع له بين الكد، وقلة المرزئة، وبين السهر، وخشونة المضجع، وبين طول الاغتراب، وطول قلة الانتفاع، ومع علمه بأن وارثه أعدى له من عدّوه، وأنه أحقّ بماله من وليّه.,"The miser couples drabness with fatigue, sleeplessness with a scraping bed and permanent estrangement with a lifetime’s lack of ease, yet knowing that his own son fosters more hostility than his enemy and believes the estate to be rightfully his."
15,أوليس هو أظهر الجهل والغباوة، وانتحل الغفلة والحماقة، ثم احتجّ لذلك بالمعاني الشداد، وبالألفاظ الحسان، وجودة الإختصار، وبتقريب المعنى، وبسهولة المخرج، وإصابة الموضع، فكان ما ظهر من معانيه وبيانه مكذّبا لما ظهر من جهله ونقصانه.,"And does he not pretend ignorance or stupidity he then seeks to excuse with well-chosen words and apposite phrasing, expressed with a clarity and precision that only belie his false pretence?"
16,ولم جاز أن يبصر بعقله البعيد الغامض، ويغبى عن القريب الجليل؟!.,"How is it possible to perceive, intellectually, the obscure and ambiguous yet be blind to the patently obvious?"
17,وقلت: فبيّن لي ما الشيء الذي خبّل عقولهم، وأفسد أذهانهم، وأغشى تلك الأبصار، ونقض ذلك الإعتدال؟,"You asked me to explain what has so warped their minds, clouded their perception, distorted their thinking and upset their natural balance."
18,وما الشيء الذي له عاندوا الحق، وخالفوا الأمم ؟ وما هذا التركيب المتضاد، والمزاج المتنافي؟ وما هذا الغباء الشديد الذي الى جنبه فطنة عجيبة؟ وما هذا السبب الذي خفي به الجليل الواضح، وأدرك به الجليل الغامض؟!,Why do they stubbornly resist what is right and proper and oppose standards of conduct universally approved? Just what is this contrarian mentality? How can such downright stupidity co-exist with such astonishing mental facility? What makes the obvious so obscure to them yet the obscure so obvious?
19,وقلت: وليس عجبي ممن خلع عذاره في البخل، وأبدى صفحته للذمّ، ولم يرض من القول إلا بمقارعة الخصم، ولا من الإحتجاج إلا بما رسم في الكتب؛ ولا عجبي من مغلوب على عقله، مسخّر لإظهار عيبه.,"You told me that it is not so much the incorrigible, uninhibited miser who interests you, or the type who becomes aggressive when challenged, or whose second-hand pretexts are picked up from books and, still less, the feeble man compelled to expose his vice instinctively."
20,كعجبي ممن قد فطن لبخله، وعرف إفراط شحّه، وهو في ذلك يجاهد نفسه، ويغالب طبعه، ولربما ظن أن قد فطن له، وعرف ما عنده، فموّه شيئا لا يقبل التمويه، ورقع خرقا لا يقبل الرقع.,"What really interests, you said, is the man who is all too aware of the extent of his avarice, who struggles against himself, trying to resist his own nature and, suspecting he has been found out, will try to cover up what cannot be concealed – like patching an old, worn-out shirt that can be patched no more."
21,فلو أنه كما فطن لعيبه، وفطن لمن فطن لعيبه، فطن لضعفه عن علاج نفسه، وعن تقويم أخلاقه، وعن استرجاع ما سلف من عاداته، وعن قلبه أخلاقه المدخولة إلى أن تعود سليمة، لترك تكلّف ما لا يستطيعه.,"If he was only aware – just as he is aware of his vice and aware that others are aware of it, too – that he is beyond all cure and powerless to reform his character, unable to regain the good habits he may once have had or remedy the bad ones he has since acquired, he would stop attempting the impossible."
22,ولربح الإنفاق على من يذمّه، ولما وضع على نفسه الرقباء، ولا أحضر مائدته الشعراء، ولا خالط برد الآفاق، ولا لابس الموكلين بالأخبار، ولاستراح من كدّ الكلفة، ودخل في غمار الأمة.,"He could then save the money he spends on buying a reputation among men who only criticise him. He would not need to endure the presence of those who watch his every move, invite poets to his table or associate with professional gossips and socialites. He could relax from the ordeal and retire into social anonymity."
23,وبعد، فما باله يفطن لعيوب الناس إذا أطعموه، ولا يفطن لعيب نفسه إذا أطعمهم؟ وإن كان عيبه مكشوفا، وعيب من أطعمه مستورا؟,"Just what is going on in the mind of the skinflint who picks up on the faults of his hosts but fails to attend to his own vice when he entertains? His vice, after all, is on full display, while the faults of his hosts are concealed."
24,ولم سخت نفس أحدهم بالكثير من التبر، وشحّت بالقليل من الطعم؟ وقد علم أن الذي منع يسير في جنب ما بذل، وأنه، لو شاء أن يحصل بالقليل مما جاد به أضعاف ما بخل به، كان ذلك عتيدا، ويسيرا موجودا.,"How can a man scatter gold dust but deny one loaf of bread, knowing that what he stints with is as nothing beside his largesse? If he wished, just a little of what he dispenses so lavishly could cover many times the trifle he withholds."
25,وقلت: ولا بدّ من أن تعرفني الهنات التي نمت على المتكلفين، ودلّت على حقائق المتموهّين، وهتكت عزّ أستار الأدعياء، وفرّقت بين الحقيقة والرياء، وفصلت بين المقهور المنزجر، والمطبوع المبتهل، لتقف، كما زعمت، عندها، ولتعرض نفسك عليها ولتتوهّم مواقعها وعواقبها.,"You told me to let you know of every little sign that gives these hypocrites away, every telling flaw that exposes their pretence and lays bare their affectation – everything, in fact, that distinguishes truth from dissimulation and sets apart the man whose generosity is spontaneous and natural from the one whose hospitality is rehearsed and insincere. This, you say, will allow you to confront these issues squarely, represent them to yourself and anticipate their occurrence and consequences."
26,فإن نبّهك التصفّح بها على عيب قد أغفلته، عرفت مكانه فاجتنبته، فإن كان عتيدا ظاهرا معروفا عندك، نظرت؛ فإن كان احتمالك فاضلا على بخلك دمت على إطعامهم، وعلى اكتساب المحبة بمؤاكلتهم؛ وإن كان اكتراثك غامر الإجتهاد، سترت نفسك وانفردت بطيّب زادك، ودخلت مع الغمار وعشت عيش المستورين.,"If careful reflection drew your attention to some personal flaw you had missed, you could flag it and avoid it. Anything particularly striking, you might analyse and, if forbearance should exceed your cupidity, continue to offer hospitality and earn the admiration of your guests. However, were anxiety to outweigh enthusiasm, you ought then to withdraw into isolation and social anonymity, enjoy the pleasure of dining alone and live a life beyond reproach."
