,Arabic,English
0,فصل فِي أمراض الْقُلُوب وشفائها,CHAPTER ONE Concerning the Ailments of the Hearts and their Cures
1,الْحَمد لله نستعينه وَنَسْتَغْفِرهُ ونعوذ بِاللَّه من شرور أَنْفُسنَا وَمن سيئات أَعمالنَا من يهد الله فَلَا مضل لَهُ وَمن يضلل فَلَا هادي لَهُ,"Indeed all praise is due to Allah, we seek His help, and we seek His forgiveness, and we seek refuge in Allah from the evil of our souls and the evil of our actions. Whomsoever Allah guides, none can misguide, and whomsoever Allah misguides, none can guide."
2,وَأشْهد أَن لَا إِلَه إِلَّا الله وَحده لَا شريك لَهُ وَأشْهد أَن مُحَمَّدًا عَبده وَرَسُوله صلى الله عَلَيْهِ وعَلى آله وَأَصْحَابه وَسلم تَسْلِيمًا,"I bear witness that there is no deity worthy of worship except for Allah, the One Who has no partner, and I bear witness that Muhammad is His servant and Messenger."
3,قَالَ الله تَعَالَى عَن الْمُنَافِقين الْبَقَرَة فِي قُلُوبهم مرض فَزَادَهُم الله مَرضا,"Allah the Exalted said about the hypocrites,In their hearts is a disease and Allah has increased their disease. [Surah al-Baqarah (2) : 10]"
4,وَقَالَ تَعَالَى الْحَج ليجعل مَا يلقى الشَّيْطَان فتْنَة للَّذين فِي قُلُوبهم مرض والقاسية قُلُوبهم,That He may make what is thrown in by Satan a trial for those in whose hearts is a disease and whose hearts are hardened. [Surah al-Hajj (22) : 53]
5,وَقَالَ الْأَحْزَاب لَئِن لم ينْتَه المُنَافِقُونَ وَالَّذين فِي قُلُوبهم مرض والمرجفون فِي الْمَدِينَة لنغرينك بهم ثمَّ لَا يجاورونك فِيهَا إِلَّا قَلِيلا,"If the hypocrites, and those in whose hearts is a disease, and those who spread false news among the people of Madinah cease not, We shall certainly let you overpower them, then they will not be able to stay in it as your neighbours but for a little while. [Surah al-Ah^ab (33) : 60]"
6,وَقَالَ المدثر وَلَا يرتاب الَّذين أُوتُوا الْكتاب والمؤمنون وليقول الَّذين فِي قُلُوبهم مرض والكافرون مَاذَا اراد الله بِهَذَا مثلا,"…and that no doubts may be left for the People of the Book and the believers, and that those in whose hearts is a disease and the disbelievers may say, ‘What does Allah intend by this parable?’ [Surah al-Muddaththir (74) : 31]"
7,وَقَالَ تَعَالَى يُونُس قد جاءتكم موعظة من ربكُم وشفاء لما فِي الصُّدُور وَهدى وَرَحْمَة للْمُؤْمِنين,"…There has come to you good advice from your Lord, and a healing for that which is in the hearts, a guidance and a mercy for the believers."
8,وَقَالَ الْإِسْرَاء وننزل من الْقُرْآن ماهو شِفَاء وَرَحْمَة للْمُؤْمِنين وَلَا يزِيد الظَّالِمين إِلَّا خسارا,سقطمنالنسخة
9,وَقَالَ التَّوْبَة ويشف صُدُور قوم مُؤمنين وَيذْهب غيظ قُلُوبهم,…and heal the breast of a believing people and removes the anger of their hearts… [Surah Tawbah (9) : 14-15]
10,وَمرض الْبدن خلال صِحَّته وصلاحه وَهُوَ فَسَاد يكون فِيهِ يفْسد بِهِ إِدْرَاكه وحركته الطبيعية فإدراكه إِمَّا أَن يذهب كالعمى والصمم وَإِمَّا أَن يدْرك الْأَشْيَاء على خلاف مَا هِيَ عَلَيْهِ كَمَا يدْرك الحلو مرا وكما يخيل إِلَيْهِ أَشْيَاء لَا حَقِيقَة لَهَا فِي الْخَارِج,"The disease of the body is the opposite of its being sound and in good health, it is a degeneration that occurs in it causing a failure of the natural senses of perception and movement. So with respect to its perception either it goes completely such as blindness or deafness, or it perceives objects incorrectly – such as its perceiving something sweet to be bitter or its hallucinating things that have no reality in the real world."
11,وَأما فَسَاد حركته الطبيعية فَمثل أَن تضعف قوته عَن الهضم أَو مثل أَن يبغض الأغذية الَّتِي يحْتَاج إِلَيْهَا وَيُحب الاشياء الَّتِي تضره وَيحصل لَهُ من الالام بِحَسب ذَلِك وَلَكِن مَعَ ذَلِك الْمَرَض لم يمت وَلم يهْلك,"With respect to the failure of its movements then examples of this would be the inability to digest food, or the body’s aversion to nourishment that it is need of, or its desire of things that would weaken it, leading to illnesses as a result of these but not leading to death or physical ruin."
12,بل فِيهِ نوع قُوَّة على إِدْرَاك الْحَرَكَة الارادية فِي الْجُمْلَة فيتولد من ذَلِك ألم يحصل فِي الْبدن إِمَّا بِسَبَب فَسَاد الكمية أَو الْكَيْفِيَّة فَالْأول إِمَّا لنَقص الْمَادَّة فَيحْتَاج إِلَى غذَاء وَإِمَّا بسب زيادتها فَيحْتَاج إِلَى استفراغ,"Instead these failures would lead to suffering of the actual body either as a result of consuming a wrong quantity of some  thing or applying something to the body in the wrong way. As for the first, then it could be consuming too little a quantity of nourishment and therefore the body would require more, or it could be by consuming too much and therefore the body would require it to be removed."
13,وَالثَّانِي كقوة فِي الْحَرَارَة والبرودة خَارج عَن الِاعْتِدَال فيداوى,"As for the second, then it could be like extremely high or low temperatures due to incorrect usage of medicine."
14,وَكَذَلِكَ مرض الْقلب هُوَ نوع فَسَاد يحصل لَهُ يفْسد بِهِ تصَوره وإرادته فتصوره بِالشُّبُهَاتِ الَّتِي تعرض لَهُ حَتَّى لَا يرى الْحق أَو يرَاهُ على خلاف مَا هُوَ عَلَيْهِ وإرادته بِحَيْثُ يبغض الْحق النافع وَيُحب الْبَاطِل الضار,"The same is true for the disease of the heart for it is a type of degeneration that occurs in it, causing failure in its perception and desires. So with respect to its perception then this is degenerated by its being presented with doubts upon doubts until it cannot see the truth or it perceives the truth incorrectly. Its desires are degenerated by its hating the truth which Would be of benefit to it, and loving the falsehood that would cause it harm."
15,فَلهَذَا يُفَسر الْمَرَض تَارَة بِالشَّكِّ والريب كَمَا فسر مُجَاهِد وَقَتَادَة قَوْله الْبَقَرَة فِي قُلُوبهم مرض أَي شكّ,"So this is why ‘diseases’ has sometimes been explained to be doubt and suspicion, as was explained by Mujahid and Qatadah in their commentaries to the verse, In their hearts is a disease and Allah has increased their disease. [Surah al-Baqarah (2) : 10]"
16,وتارة يُفَسر بشوة الزِّنَا كَمَا فسر بِهِ قَوْله الْأَحْزَاب فيطمع الَّذِي فِي قلبه مرض فِي قلبه مرض,"and at other times to be the desire to commit fornication as in the case of the verse, …Lest he in whose heart is a disease be moved with desire. [Silrah alAhfib (33) ; 32]"
17,وَلِهَذَا صنف الخرائطي كتاب اعتلال الْقُلُوب أَي مَرضهَا وَأَرَادَ بِهِ مَرضهَا بالشهوة,"This is why al-Khara’iti authored a book called, ‘The book of the Weakness of the Hearts Meaning their Diseases, ’ meaning by ‘diseases” here – the diseases of desire."
