,Arabic,English
0,الاعتبارالمؤلف: أبو المظفر مؤيد الدولة مجد الدين أسامة بن مرشد بن علي بن مقلد بن نصر بن منقذ الكناني الكلبي الشَّيزَري(مذكرات أسامة بن منقذ في الحروب الصليبية),AN ARAB-SYRIAN GENTLEMAN AND WARRIOR IN THE PERIOD OF THE CRUSADES MEMOIRS OF USAMAH IBN-MUNQIDH
1,ولم يكن القتل في ذلك المصافّ في المسلمين كثيرًا.,In the course of that combat the massacre was not great in the ranks of the Moslems.
2,وكان وصل من الإمام الراشد بن المسترشد رحمهما الله، ابن بشر رسولًا إلى أَتابك يستدعيه.,"Before the battle there had arrived ibn-Bishr, an envoy from the Imam al-Rashid ibn-al-Mustarshid (may Allah’s mercy rest upon their two souls!), in order to summon the atabek to appear before him [the caliph]."
3,فحضر ذلك المصاف وعليه جَوْشَنٌ مذَهَّب، فطعنه فارس من الإفرنج، يقال له ابن الدقيق، في صدره، أخرج الرمح من ظهره رحمه الله،,"Bishr took part in that battle clad in a gilden byrnie [jawshan]. A Frankish knight, named ibn-al-Daqiq, smote and pierced him in the chest with a lance, making the lance come out of his back (may Allah’s mercy rest upon his soul!)."
4,بل قُتل من الإفرنج خَلْق كثير.,The slaughter was rather great in the lines of the Franks.
5,وأمر أتابك رحمه الله، فجُمعت رؤوسهم في حقل مقابل الحصن، فكانت قدر ثلاثة آلاف رأس.,"The atabek (may Allah’s mercy rest upon his soul!) gave orders according to which their heads were assembled in a field opposite the castle, and they turned out to be about three thousand."
6,ثم إن ملك الروم عاد خرج إلى البلاد في سنة اثنتين وثلاثين وخمس مئة، واتفق هو والإفرنج خذلهم الله، واجمعوا على قصد شيزر ومنازلتها.,"Later on in the year 532, the emperor of the Byzantines once more set out against the land of Syria and made an alliance with the Franks (may Allah render them helpless!) to go conjointly against Shayzar and attack it."
7,فقال لي صلاح الدين ماترى ما فعله هذا الولد المثكل”؟ يعني ابنه شهاب الدين احمد,"Salah-al-Din thereupon said to me, “Dost thou not see what this timorous fellow has done?” referring to his own son Shihab-al-Din Ahmad."
8,قلت ” وأي شيء فعل “؟ قال ” أنفذ إلي يقول أبصر من يتولى بلدك “. قلت وأي شيء عملت؟,"“And what has he done?” said I. “He sent me word,” replied Salah-al-Din, “saying, ‘Find someone else to take charge of thy town.’” “And what didst thou do then?” asked I."
9,قال ” نفذت إلى أتابك أقول تسلم موضعك “. قلت ” بئس ما فعلت “! أما يقول لك أتابك لما كانت لحمًا أكلها، ولما صارت عظمًا رماها علي “؟,"“Well,” replied Salah-al-Din, “I sent word to the atabek, saying, ‘Take back thy place.’” I then remarked, “What an awful thing thou hast done! Will not now the atabek say to thee, ‘When it was meat he ate it, but now that it has become bone he threw it away to me.’”"
10,قال ” فأي شيء أعمل “؟ قلت أنا جالس فيها. فإن سلم الله تعلى كان بسعادتك، ويكون وجهك ابيض عند صاحبك. وإن اخذ الموضع وقتلنا كان بآجالنا، وأنت معذور ” قال ” ما قال لي هذا القول أحد غيرك “,"“What shall I do then?” asked he. To this I replied, “I shall establish myself in it [Shayzar]. If Allah (exalted is he!) vouchsafes its safety, it will be to thy future welfare and will redound to thy glory with thy lord. If, on the other hand, the town is taken and we are killed, that will be our fate and thou wilt not be to blame.” To this he replied, “No other man has ever said such a thing to me!”"
11,وتوهمت أنه يفعل ذلك، فحفلت الغنم والدقيق الكثير والسمن وما يحتاجه المحاصر، فأنا في داري المغرب ورسوله جاءني قال ” يقول لك صلاح الدين نحن بعد غدٍ سائرون إلى الموصل فاعمل شغلك للمسير”.,"Believing that he would act accordingly, I brought together sheep, a large quantity of flour, butter and other provisions needed during a siege. But as I was in my home at sunset time, his messenger came to me, saying, “Salah-al-Din wants thee to know that the day after tomorrow we shall be on the march to al-Mawsil. Prepare thyself, therefore, for the march.”"
12,فورد على قلبي من هذا هم عظيم وقلت ” اترك أولادي واخوتي وأهلي في الحصار وأسير إلى الموصل “؟,"This filled my heart with great anxiety and I said, “Shall I leave my children, my brothers and my women folk under siege and proceed to al-Mawsil?”"
13,فأصبحت ركبت إليه وهو في الخيام استأذنته في الرواح إلى شيزر لاحضر لي نفقة ومالًا نحتاج إليه في الطريق. فأذن وقال ” لاتبطىء “،,"Early the second morning, I went on horseback to Salah-al-Din, who was still in his tent, and asked his permission to go to Shayzar and bring back such supplies and money as I should need on the way. This permission he granted, adding, “Lose no time there.”"
14,فركبت ومضيت إلى شيزر، فبدا منه ما أوحش قلبي، وعرك ابني فنازل، فنفذ إلى داري فرفع كل مافيها من الخيام والسلاح والرحل وقبض على أمر أحبتي وتتبع أصحابي فكانت نكبة كبيرة رائعة.,"Accordingly, I rode my mount and proceeded to Shayzar. The sight I saw there saddened my heart. The enemy had defeated my son and fought their way as far as my home, from which they carried away all the tents, weapons and furniture that were therein, captured my beloved ones and put to flight my comrades. Thus the calamity was great and terrible."
15,فاقتضت الحال مسيري إلى دمشق، ورسل أتابك تتردد في طلبي إلى صاحب دمشق،,"Conditions now made it necessary for me to start for Damascus. The emissaries of the atabek were coming one after the other to the lord of Damascus, asking him to send me to the atabek."
16,فأقمت فيها ثماني سنين، وشهدت فيها عدة حروب، واجزل لي صاحبها العطية والإقطاع وميزني بالتقريب والإكرام،,"I spent in that city eight years, and its lord (may Allah have mercy upon his soul!) bestowed great gifts and fiefs bountifully on me. He distinguished me by putting me in a position close to him and by other special honors."
17,يضاف ذلك إلى اشتمال الأمير معين الدين رحمة الله علي وملازمتي له ورعايته لأسبابي.,"All that was in addition to the marks of favor from al-Amir Mu’in-al-Din (may Allah’s mercy rest upon his soul!), his constant company and his taking my interests under his patronage."
18,ثم جرت أسباب أوجبت مسيري إلى مصر، فضاع من حوائج داري وسلاحي مالم أقدر على حمله، فرطت في أملاكي ما كان نكبة أخرى. كل ذلك والأمير معين الدين رحمه الله محسن مجمل كثير التأسف على مفارقتي مقرّ بالعجز عن أمري،,"Certain causes, however, made it necessary for me to depart for Egypt. This resulted in the loss of such pieces of my home furniture and weapons as I could not carry along. In this another calamity befell me in my possessions; and al-Amir Mu’in-al-Din (may Allah’s mercy rest upon his soul!), although benevolent, deeply sympathetic with me and greatly afflicted with sorrow for my departure, acknowledged his inability to redeem the situation for me."
19,حتى انه انفذ إلي كاتبه الحاجب محمود المسترشدي رحمه الله قال ” والله لو أن معي نصف الناس لضربت بهم النصف الأخر، ولو أن معي ثلثهم لضربت بهم الثلثين وما فارقتك.,"He even went so far as to send me his secretary, al-Hajib [chamberlain] Mahmud al-Mustarshid (may Allah’s mercy rest upon his soul!), through whom he said: By Allah, if one half of the people were on my side, I would risk hurling them against the other half; even if one third were on my side, 1 would risk hurling them against the two thirds rather than risk parting with thee!"
20,لكن الناس كلهم قد تمالوا علي ومالي بهم طاقة.,"But as it is, all the people have coalesced against me, and I have become powerless."
21,وحيث كنت فالذي بيننا من المودة على أحسن حاله”. ففي ذلك أقول:,"But wherever thou mayest be, the friendship between us shall ever remain at its best. This was the occasion for my composing the following verses:"
22,معين الدين كم لك طوق منّ *** يحيدي مثل أطواق الحماميعبدني لك الإحسان طوعًا *** وفي الإحسان رقٌ للكرامفصار إلى مودتك انتسابي *** وإن كنت العظامي العصاميألم تعلم بأني لانتمائي *** إليك رمى سوادي كل رامولولا أنت لم يصحب شماسي *** لقسر دون إعذار الحسامولكن خفت من نار الأعادي *** عليك فكنت إطفاء الضرام,"O Mu’in-al-Din, how numerous are thy necklaces of bountyOn my neck, irremovable as the rings around the pigeon’s throat!Thy benevolence has made me indeed thy voluntary bondsman,For to the noble, benevolence is his fetters.So much so that I have now begun to trace my genealogy to thy friendship,Though I belong to the noble class by both pedigree and personal achievements.Dost thou not know that it was because of my close relationship to theeThat from all sides shafts have been hurled at me?Had it not been for thy sake, my refractory nature would not have been appeased,In the face of harsh treatment by others, without effectively applying the sword.But because I was afraid for thine own safety from the fires of the enemy,I played the role of one who quenches the flame"
23,فكان وصولي إلى مصر يوم الخميس الثاني من جمادى الآخر سنة تسع وثلاثين وخمس مئة.,"My arrival in Cairo fell on Thursday, the second of Jumada 11, year 539."
24,فأقرني الحافظ لدين الله ساعة وصولي، فخلع علي بين يديه، ودفع لي تخت ثياب ومائه دينار،,"As soon as I arrived there, al-Hafiz li-Din-Allah assigned me a place to live, had me invested with a robe of honor in his presence, bestowed on me a full wardrobe together with one hundred dinars,"
25,وخولني دخول الحمام، وأنزلني في دار من دور الأفضل بن أمير الجيوش في غاية الحسن وفيها بسطها وفراشها ومرتبة كبيرة آلتها من النحاس،,"authorized me to use his baths and assigned for my residence one of the mansions of al-Afdal, son of the Amir-al-Juyush, which was extremely magnificent, fully equipped with carpets, furniture and a complete outfit of brass utensils."
26,كل ذلك لا يستعاد منه شيء، وأقمت بها مدة إقامة في إكرام واحترام وإنعام متواصل وإقطاع زاج.,"All that was put at my disposal with the understanding that nothing of it would be reclaimed. Here I settled for a long period of time as the recipient of honor, respect and uninterrupted favors, besides a revenue easy to collect from a special fief."
27,فوقع بين السودان، وهم في خلق عظيم، شر وخلف بين الريحانية، وهم عبيد الحافظ، وبين الجيوشية والإسكندرية والفرحية،,"There now developed a great dispute and quarrel among the Sudanese (who were very numerous), more particularly between the Rayhaniyyah on the one hand, who were loyal slaves of al-Hafiz, and the Juyushiyyah, the Alexandrians and the Farahiyyah on the other hand."
28,فكان الريحانية في جانب، وهؤلاء كلهم في جانب متفقين على الريحانية،,The Rayhaniyyah stood alone on one side; while all the others stood on the other side allied together against the Rayhaniyyah.
29,وانضاف إلى الجيوشية قوم من صبيان الخاص. فاجتمع من الفريقين خلق عظيم، وغاب عنهم الحافظ،,A group of the special guard joined hands with the Juyushiyyah. Both parties were assembled in great numbers. Al-Hafiz was then absent.
30,وترددت إليهم رسله، وحرص على إن يصلح بينهم. فما أجابوا إلى ذلك، وهم معه في جانب البلد.,"His emissaries went back and forth, as he was anxious to see reconciliation effected between the two sides, but the response was not favorable. The Rayhaniyyah and the inhabitants of the town were siding with him."
31,فأصبحوا التقوا في القاهرة فاستظهرت الجيوشية أصحابها على الريحانية فقتلت منهم في سويقة وأمير الجيوش ألف رجل حتى سدوا السويقة،,"Early in the morning, the encounter took place in Cairo. The Juyushiyyah and their allies won the victory over the Rayhaniyyah, of whom were killed in the Suwayqah Amir-al-Juyush one thousand men, whose corpses blocked the passage in the Suwayqah."
32,ونحن نبيت ونصبح بالسلاح خوفًا من ميلهم علينا، فقد كانوا فعلوا ذلك قبل طلوعي إلى مصر.,"As for us, we remained under arms by night and day for fear that they might in turn attack us, as they had done prior to my arrival in Egypt."
33,وظن الناس لما قتل الريحانية أن الحافظ ينكر ذلك ويوقع بقاتليهم، وكان مريضًا على شفى، فمات رحمه الله بعد يومين، وما انتطح فيها عنزان.,"When the Rayhaniyyah were thus slaughtered, people thought that al-Hafiz would denounce the act and would destroy their murderers. But al-Hafiz was lying sick on the verge of death, and two days later the end came (may Allah’s mercy rest upon his soul!). Not even two goats locked horns on account of the massacre."
34,وجلس بعده الظافر بأمر الله وهو أصغر أولاده، واستوزر نجم الدين بن مصال وكان شيخًا كبيرًا.,"His youngest son, al-Zafir bi-Amr-Allah, succeeded him and chose for vizier Najm-al-Din ibn-Masal, who was already an aged man."
35,والأمير سيف الدين أبو الحسن علي بن السلار رحمه الله إذ ذاك في ولايته، فحشد وجمع وسار إلى القاهرة ونفذ إلى داره.,"Al-Amir Sayf-al-Din abu-al-Hasan ‘Ali ibn-al-Sallar, who was then in his province, recruited some troops, brought them together, marched against Cairo and sent word to his house."
36,فجمع الظافر بأمر الله الأمراء في مجلس الوزارة، ونفذ إلينا زمام القصور يقول ” يا أمراء هذا نجم الدين وزيري ونائبي، فمن كان يطيعني فليطعه ويتمثل أمره”.,"Al-Zafir bi-Amr-Allah immediately called a convocation of amirs in the Vizierate Palace and dispatched to us the major-domo of the palace, who said to us, “Know ye amirs that this Najm-al-Din is my vizier and representative. Let him, therefore, who obeys me obey him and comply with his orders.”"
37,فقال الأمراء: “نحن مماليك مولانا سامعون مطيعون”،. فرجع الزمام بهذا الجواب.,"The amirs replied, “We are the slaves of our master, obedient and loyal.” The prefect carried back this response."
38,فقال أمير من الأمراء شيخ يقال له لَكْرون ” ياأمراء، نترك علي بن السلار يقتل “؟ قالوا ” لا والله “. قال ” فقوموا”.,"Thereupon an aged amir, named Lakrun, said, “O amirs, shall we leave ‘Ali ibn-al-Sallar to be killed?” To this they replied, “No, by Allah!” “Rise up, therefore,” said he."
39,فنفروا كلهم وخرجوا من القصر شدوا على خيلهم وبغالهم وخرجوا إلى معونة سيف الدين بن السلار.,"Accordingly they all rushed out from the palace, saddled their horses and mules and hastened to the succor of Sayf-al-Din ibn-al-Sallar."
40,فلما رأى الظافر ذلك وغلب عن دفعه أعطى نجم الدين بن مصال مالًا كثيرًا وقال ” اخرج إلى الحوف، واجمع واحشد وانفق فيهم وادفع ابن السلار ” فخرج لذلك.,"Seeing that, and finding himself unable to resist him, al-Zafir  put at the disposal of Najm-al-Din ibn-Masal a large sum of money and said, “Go out to al-Hawf, recruit and assemble an army, distribute money among them and repulse ibn-al-Sallar.” Ibn-Masal set out to execute these orders."
