,Arabic,English
0,الكتاب: اقتضاء العلم العمل,Iqtidaa-ul-‘Ilm al-‘AmalKnowledge Mandates Action
1,المؤلف: أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي (المتوفى: 463هـ),By Imaam Abu Bakr Ahmad bin ‘Alee Al-KhateebAl-Baghdaadee [Died: 463H]
2,المحقق: محمد ناصر الدين الألباني,With Verification and notes byImaam Muhammad Naasir-ud-Deen Al-Albaanee
3,مُقَدِّمَةٌ,Introduction to the Treatise
4,نَشْكُرُ اللَّهَ سُبْحَانَهُ عَلَى مَا أَلْهَمَنَا، وَنَسْأَلُهُ التَّوْفِيقَ لِلْعَمَلِ بِمَا عَلِمْنَا فَإِنَّ الْخَيْرَ لَا يُدْرَكُ إِلَّا بِتَوْفِيقِهِ وَمَعُونَتِهِ، وَمَنْ يُضْلِلِ اللَّهُ فَلَا هَادِيَ لَهُ مِنْ خَلِيقَتِهِ،,"We give thanks to Allaah, the One free of all defects, for having guided us.And we ask Him to grant us the ability to act upon what He has given us knowledge of, for indeed, goodness cannot be attained except by His success and assistance. Whomsoever Allaah leads astray, there is no one from His creation that can guide him."
5,وَصَلَّى اللَّهُ عَلَى سَيِّدِنَا مُحَمَّدٍ سَيِّدِ الْأَوَّلِينَ وَالْآخِرِينَ، وَعَلَى إِخْوَانِهِ مِنَ النَّبِيِّينَ وَالْمُرْسَلِينَ، وَعَلَى مَنِ اتَّبَعَ النُّورَ الَّذِي أُنْزِلَ مَعَهُ إِلَى يَوْمِ الدِّينِ،,"May Allaah send His praises upon Muhammad, the chief of the first and the last, as well as his brothers from among the prophets and messengers, and those who follow the light (i.e. the Qur’aan) that was revealed to him until the Day of Recompense."
6,ثُمَّ إِنِّي مُوصِيكَ يَا طَالِبَ الْعِلْمِ بِإِخْلَاصِ النِّيَّةِ فِي طَلَبِهِ، وَإِجْهَادِ النَّفْسِ عَلَى الْعَمَلِ بِمُوجَبِهِ، فَإِنَّ الْعِلْمَ شَجَرَةٌ وَالْعَمَلَ ثَمَرَةٌ، وَلَيْسَ يُعَدُّ عَالِمًا مَنْ لَمْ يَكُنْ بِعِلْمِهِ عَامِلًا،,"To proceed:I advice you O seeker of knowledge to have a sincere and pure intention in your search for knowledge, and that you exert yourself in acting upon what it mandates (from action). This is since knowledge is a tree and action is its fruit. And one can never be considered knowledgeable so long as he doesn’t act upon what he knows."
7,وَقِيلَ: الْعِلْمُ وَالِدٌ وَالْعَمَلُ مَوْلُودٌ، وَالْعِلْمُ مَعَ الْعَمَلِ، وَالرِّوَايَةُ مَعَ الدِّرَايَةِ فَلَا تَأْنَسْ بِالْعَمَلِ مَا دُمْتَ مُسْتَوْحِشًا مِنَ الْعِلْمِ، وَلَا تَأْنَسْ بِالْعِلْمِ مَا كُنْتَ مُقَصِّرًا فِي الْعَمَلِ وَلَكِنِ اجْمَعْ بَيْنَهُمَا، وَإِنْ قَلَّ نَصِيبُكَ مِنْهُمَا،,"It has also been stated: “Knowledge is a parent and action is its offspring” and ‘Knowledge comes with action, while narrating comes with investigating.”So do not feel satisfied with actions so long as you are lacking in knowledge, nor feel satisfied with knowledge so long as you fall short in producing actions. Rather, combine between them both, even if your share two is small."
8,وَمَا شَيْءٌ أَضْعَفُ مِنْ عَالِمٍ تَرَكَ النَّاسُ عِلْمَهُ لِفَسَادِ طَرِيقَتِهِ، وَجَاهِلٍ أَخَذَ النَّاسُ بِجَهْلِهِ لِنَظَرِهِمْ إِلَى عِبَادَتِهِ,"And there is nothing worse than a scholar whose knowledge the people abandon because of the corruption of his ways, or an ignorant person lose ignorance the people accept because of what they see from his worship."
9,وَالْقَلِيلُ مِنْ هَذَا مَعَ الْقَلِيلِ مِنْ هَذَا أَنْجَى فِي الْعَاقِبَةِ إِذَا تَفَضَّلَ اللَّهُ بِالرَّحْمَةِ، وَتَمَّمَ عَلَى عَبْدِهِ النِّعْمَةَ، فَأَمَّا الْمُدَافَعَةُ وَالْإِهْمَالُ وَحُبُّ الْهُوَيْنَى وَالِاسْتِرْسَالُ، وَإِيثَارُ الْخَفْضِ وَالدَّعَةِ وَالْمَيْلِ مَعَ الرَّاحَةِ وَالسَّعَةِ، فَإِنَّ خَوَاتِمَ هَذِهِ الْخِصَالِ ذَمِيمَةٌ، وَعُقْبَاهَا كَرِيهَةٌ وَخِيمَةٌ،,"So a little of this (knowledge) along with a little of that (action) is what is lost likely to save you in the end, when Allaah bestows His mercy upon His servant and completes His favour upon him. But as for laziness and negligence, love for ease and comfort, preferring the easy life, showing indifference, and inclining towards leisure and relaxation, then the results of these characteristics are blameworthy, detestable and disastrous."
