,Arabic,English
0,[مقدمة السيد الشريف الرضي],"Preface By the compiler of Nahjul-Balagha, Allama ash-Sharif ar-Radi"
1,بسم الله الرحمن الرحيم,"In the Name of Allah, the Merciful, the Compassionate"
2,أما بعد حمد الله الذي جعل الحمد ثمناً لنعمائه، ومَعاذاً من بلائه، ووسيلاً إلى جِنانه، وسبباً لزيادة إحسانه. والصلاة على رسوله نبيّ الرحمة، وإمام الائمة، وسراج الامة، المنتخب من طينة الكرم، وسلالة المجد الاقدم، ومَغرِس الفخار المُعْرِق، وفرع العَلاء المثمر المورق.,"All Praise is due to Allah Who has held praise as the price of His bounties, protection against His retribution, pathway to His paradise and means for multiplication of His good treatment. May blessings be on His Messenger, the Prophet of mercy, the torch of the people, the chosen one from the origin of greatness and family of longstanding honors, the plantation of all-engrossing glory and the branch of sublimity full of fruits and foliage."
3,وعلى أهل بيته مصابيح الظلم، وعِصَم الامم، ومنار الدين الواضحة، ومثاقيل الفضل الراجحة صلّى الله عليهم أجمعين، صلاة تكون إزاءً لفضلهم، ومكافأة لعملهم، وكفاء لطيب فرعهم وأصلهم، ما أنار فجر ساطع، وخوى نجم طالع.,"And, may blessing be upon the members of his family who are lanterns against darkness, protection of the people, brilliant minarets of religion and high standards of greatness. May Allah shower upon them all the blessings befitting their distinction as rewards for their actions and suitable to the chastity of their lineage so long as the morning dawns and the stars twinkle"
4,فإنّي كنتُ في عنفوان شبابي، وغضاضة الغصن، ابتدأتُ بتأليف كتاب في خصائص الائمة(عليهم السلام): يشتمل على محاسن أخبارهم، وجواهر كلامهم، حداني عليه غرض ذكرته في صدر الكتاب، وجعلته أمام الكلام.,"In my early age at the dawn of youth, I commenced writing a book on the characteristics of the Imams covering the account of their virtues and masterpieces of their utterances."
5,وفرغت من الخصائص التي تخصّ أمير المؤمنين علياً(عليه السلام)، وعاقت عن إتمام بقية الكتاب محاجزات الايام، ومماطلات الزمان.,"The purpose of the compilation was stated in the beginning of the book. The rein, I completed the portion relevant to the account of Amir al-Mu’minin Ali but I could not complete that part concerning the other Imams due to impediments of the time and obstacles of the days."
6,وكنتُ قد بوّبتُ ما خرج من ذلك أبواباً، وفصّلته فصولاً، فجاء في آخرها فصل يتضمّن محاسن ما نقل عنه(عليه السلام) من الكلام القصير في المواعظ والحِكم والامثال والاداب، دون الخطب الطويلة، والكتب المبسوطة,"I divided the book into several chapters and sections, in a manner for its last section to compromise whatever had been related to Ali’s short utterances such as his counsel, maxims and proverbs but not his long lectures and detailed discourses."
7,فاستحسن جماعة من الاصدقاء ما اشتمل عليه الفصل المقدّم ذكره، معجَبين ببدائعه، ومتعجّبين من نواصعه.وسألوني عند ذلك أن أبتدىء بتأليف كتاب يحتوي على مختار كلام مولانا أمير المؤمنين(عليه السلام)في جميع فنونه، ومتشعّبات غصونه: من خطب، وكتب، ومواعظ وأدب.,"A number of my friends and brothers-in-faith, while wondering at its delicate and blossoming expressions, admired the contents of this particular section and desired that I complete a book which should cover all the forms of the utterances of Amir al-Mu’minin, including diverse materials such as lectures, letters, counsels, ethics, etc."
8,علماً أنّ ذلك يتضمّن من عجائب البلاغة، وغرائب الفصاحة، وجواهر العربية، وثواقب الكلم الدينية والدنياوية، ما لا يوجد مجتمعاً في كلام، ولا مجموعَ الاطراف في كتاب;,"They were convinced that because Amir al-Mu’minin was the fountain of eloquence and the source of rhetoric, the entire proceedings would comprise wonders and surprises of eloquence and rhetoric, brilliant jewels of the Arabic language and shining expressions about faith that were not collected nor found together in any other book."
9,إذ كان أمير المؤمنين(عليه السلام)مشرَعَ الفصاحة وموردها، ومنشأ البلاغة ومولدها، ومنه(عليه السلام)ظهر مكنونها، وعنه أخذت قوانينُها، وعلى أمثلته حذاكلّ قائل خطيب، وبكلامه استعان كلّ واعظ بليغ.,"Through the Imam, the hidden delicacies of eloquence and rhetoric came to light and from him, its principles and rules were learned. Every speaker and orator had to tread on his footprints and every eloquent preacher availed of his utterances."
10,ومع ذلك فقد سبق وقصروا، وتقدم وتأخروا، لانّ كلامه(عليه السلام)الكلامُ الذي عليه مَسْحة من العلم الالهي، وفيه عَبْقَة من الكلام النبوي.,"Even then, none could equal him and so the credit for being the first and foremost remained with him because his utterances are those that carry the reflection of the Divine knowledge and savor the Prophet’s utterance."
