,Arabic,English
0,كتاب أدب الغرباء,"The Book of StrangersMediaeval Arabic Graffiti,on the Theme of Nostalgia"
1,الحمدُ لله حَمْدًا يرضيه وَيوجبُ المزيد منْ فَضْله،,To God be praise that will be pleasing to Him and cause Him to increase His favors.
2,وإيّاهُ نسأل إيزاع الشكر على ما أولى من نِعَمهِ وَدَفَعَ من نِقَمه.,We ask Him to inspire us with thanks for the benefactions He bestows and the afflictions He deflects.
3,وصلواتُ الله ورضوانُه على سيّدنا مُحمّدٍ وآله الطاهرين مِنْ كُلّ دَنَسٍ، وبركاتُه وتسليمُه.,"May His benediction and satisfaction be on our lord Muhammad and his family, free of any blemish, and may He bless them and give them peace."
4,أما بعدُ، فإنّ أصعَبَ ما نابَ به الزمانُ ولقي في عمره الانسانُ، عوارض الهمّ ونوازلُ الغمّ، نعوذُ بالله منهما.,The most painful thing that time inflicts on a man in the course of his life is the onset of worries and grief. We seek refuge with God from both.
5,وحدوثُهما يكونُ بأسبابٍ أتمُّها حالًا في السَوْرَةِ وأعلاها درجةً في القوّة: تغيّرُ الحالِ من سَعَةٍ إلى ضيقٍ، وزيادةٍ إلى نُقْصان، وعلوٍ إلى انحطاط،,"They occur in circumstances of which the most harrowing and distressing are changes in the conditions of life: from ease to poverty, from increase to deficiency, and from an elevated position to decline."
6,واللهُ سبحانه أخبرنا أنّ ذالك إحدى العقوبات التي تَهَدَّدَ بها وخوَّف منها،,"God, praise be to Him, tells us that this is one of the punishments with which He threatens and induces fear."
7,فقال تعالى: (ولَنَبْلُوَنّكُمْ بِشَيءِ مِن الخوْفِ والجوع، ونَقصٍ من الأموالِ والأنْفُسِ والثّمراتِ، وَبَشّرِ الصابرين),"He says, exalted is He, We will try you with something of fear and hunger, and diminution of goods, II lives and fruits; but give good tidings unto the patient (Quran 2:155)."
8,ولهاذا الباب ببن الناس من الشهرة والتعارف، والظهور والتكاشف، ما يُغني عن إقامة الدليل على صُعوبته، وتقوية الشاهد على صِفَته،,"All this is so familiar to people, and so openly acknowledged and recognized, that it is not necessary to prove how painful it is or to adduce further evidence of its nature."
9,وربّما قادَ الفراغ إلى التشاغل بغير مُهِمّ، ودعا التفرّدُ إلى مُقاربة النَّغَصِ، وحملت الحاجةُ على تورّط الحُتوف، وسهّلت المحن ركوبَ كُلِّ مخوف.,"Now idleness is apt to make people preoccupied with unimportant matters; loneliness tends to put an end to joy; and the need to earn a living induces people to risk their lives by perilous (journeys), for tribulations make it easier to do all sorts of things that one normally fears."
10,والذي بي من تقسُّم القلبِ، وَحَرَج الصَدْر، يسومانني إلى مثل ما ذكرتُه، ويبعثانني على مثل ما قَدّمْتُه.,"The conflict in my heart and the anguish in my breast cause me to behave in this fashion, and to react as described."
11,فأشغَلُ النفْسَ في بعض الأوقات بالنظر في أخبارِ الماضين، وأحاديثِ السالفين، فربّما أسلَتْ ذا شَجَن، وتأسّى بمُتَضَمَّنِها مُمْتَحَن،,"So every now and again I occupy myself by reading accounts of bygone generations and stories about the ancients, which sometimes comfort the distressed and give solace by their contents to the person tried (by God)."
12,فأنا في ذالك كغريقِ اللُّجّة بما يجدُ يتعَلّقُ، ويَتَشَبّثُ طلباً للحياة بما لحق.,In this I am like a drowning man in the depth of the sea who will cling to anything he finds and grasp at anything he can reach in order to survive.
13,وقد جمعتُ في هاذا الكتاب ما وقَع إلَّي وعرفتهُ، وسمعتُ به وشاهدتُه، من أخبار مَنْ قال شعراً في غُرْبَة، ونَطَقَ عمّا به من كُرْبَة، وأعلنَ الشكوى بوَجْدهِ إلى كُلِّ مُشرَّدٍ عن أوطانه، ونازحِ الدار عن إخوانه، فكتبَ بما لقىَ على الجدران، وباح بسرّه في كل حانةٍ وبستان،,"I have gathered in this book what I have heard or seen for myself, or learnt in other ways, about those who composed poetry when they were in the position of strangers, who gave expression to the grief they fell, and who revealed their complaints of love to every person driven from his home and far removed from his friends, by writing of their sufferings on walls and disclosing their secrets in every tavern and garden;"
14,إذْ كان ذالك قد صار عادةَ الغرباء في كُلّ بلدٍ ومَقْصَد، وعلامةً بينهم في كُلِّ مَحْضَرٍ ومَشْهَد،,"for this has become the custom of strangers in every country and destination, and a distinguishing feature of theirs in every place and site."
15,فأرى الحال تدعو إلى مُشاكلتهم وحَيْفَ الزمان يقودُ إلى التحلّي بسَمْتهم.,"I think that (my) situation calls for imitation of them, and that the injustice of time leads (me) to adorn (myself) with their badge."
16,ونسألُ اللهَ خيْرَ ما قَدّرَ وقضى، والمعونةَ على الدين بالدنيا، وعلى الآخرةِ بالتقوى، إنّهُ على كلِّ شيءٍ قدير.,"We ask God to bestow on us the best of what He decrees and determines, and to help us live by our religion by means of (wealth in) this world and to achieve the next by piety; for He has power over everything."
17,1-  فمن ذلك ما حدّثني به أبو عبد الله أحمد بن جيش التمّار,1. Among these stories there is the one that Abu ‘Abdallah Ahmad ibn Jaysh al-Tammar told me.
18,قال: حدثني أبي، عن بعض ولد أحمد بن هشام ، عن أبيه قال:,He said that his father told him on the authority of a son of Ahmad ibn Hisham that Ahmad ibn Hisham said:
19,كنتُ في جملة عَسْكر المأمون حين خرج إلى بلد الروم، فدخل وأنا معه إلى كنيسةٍ قديمةِ البناءٍ بالشام، عجيبةِ الصُّوَر، فلم يَزَلْ يطوفُ بها،,"I was in the army of (the caliph) al-Ma’mun when the latter marched to Byzantium. He and I entered an old church in Syria which had marvellous paintings, and in which he walked around at length."
20,فلما أراد الخروج قال لي: مِنْ شأنِ الغرباءِ في الأسفار ومَنْ نَزَحَتْ به الدارُ عن إخوانه وأترابه، إذا دَخَل موضعاً مذكوراً، ومَشْهداً مشهوراً، أن يجعل لنفسه فيه أثراً، تبرُّكاً بدُعاءِ ذوي الغُرْبةِ، وأهلِ التقطُّع والسياحة.,"When it was time to leave, he said to me, “When strangers on journeys and people far removed from their friends and companions enter a well-known place and famous site, it is their habit to leave behind a record of their presence in order to seek blessing in the prayers of (other) strangers, travellers, and people bereft of their kith and kin (on their behalf)."
21,وقد أحْبَبْتُ أنْ أدخُلَ في الجملة، فابغ لي دواةً. فكتبَ على ما بين باب المذبح هاذه الأبيات:,"I want to join in, so get me a pot of ink”. He then wrote the following verses midway on the altar gate:"
22,يا معشرَ الغُرباءِ رَدّكُمُ         ولقيتُمُ الأخبارَ عَنْ قُرْبِ,"Strangers! May God grant you safe return, and may you soon meet your loved ones."
23,قلبي عليكم مُشْفِقٌ وَجِلٌ        فشفا الإلهُ بحِفْظِكم قلـبي,My heart has been afflicted with pity and fear for you; may God heal it by bringing you to safety.
24,إنّي كتبتُ لكيْ أساعدكم        فإذا قرأتم فاعرفوا كتبي,"I wrote in order to support you; so when you read it, know that it was I who wrote it."
25,2- ورُوي لنا عن إسحاق بن عبد الله قال:,2. The following was related to us on the authority of Ishaq ibn ‘Abdallah:
26,كنتُ في خَدَمِ أبي جعفر. فدخل قَصْرَ عَبْدَويْه وأنا معه. فقال: اعطيني فَحْمةً. فناولتُه، وكتب هاذا الشعر على الحائط:,"I was one of (the caliph) Abii Ja’far’s servants. Once when he went with me to the palace of Abdawayh, he told me to get him a piece of charcoal, which I did. He then wrote this poem on the wall:"
27,المرءُ يأملُ أنْ يعيشَ            وطولُ عيْشٍ قد يَضُرُّهْتُودي بشاشتُه ويعقبُ            بَعْدَ حُلْوِ العيْـشِ مُـــرَّهْ,"Man hopes to live, though a long life may harm him, For his smile will die and the sweetness of his life will give way to bitterness."
28,وتَسوؤه الأيّـامُ حـتـى             لا يـَرى شيئـاً يـسُــــرُّهكـمْ شـامـــتٍ بــي إنْ             هلكـتُ وقائـــلٍ لله دَرُّه,"Time will hurt him so much that he will see nothing to please him. How many will rejoice in my misfortune if I die, while others protest what an excellent man I was."
29,قال: فما لبث إلّا قليلًا.,"Ishaq said, He died soon after."
30,والشعرُ للبيد.,The poem is by Labid.
31,3- وحدّثني أحمد بن زياد الكاتب، شيخ لقيتُه ببغداد، من أهل همَذان قال: حدثني أبو الحسن علي بن يحيى المنجّم، عن أبيه قال:,"3. The secretary Ahmad ibn Ziyad, an old man from Hamadhan whom I met in Baghdad, told me that Abu ‘I-Hasan Yahya al-Munajjim narrated the following on the authority of his father:"
32,أخذ الواثقُ يوماً بيدي يتكئ عليها، ويطوفُ على الأبنية بسرّ مَنْ رأى ليختار منها بيتاً يشربُ فيه في ذالك اليوم.,One day (the caliph) al-Wathiq took my hand to support himself while he was touring the buildings in Surra Man Raa to choose a palace in which to drink that day.
33,فلما انتهى إلى البيت المعروف بالمختار استحسنه، وجعل يتأملُه وقال لي: هلْ رأيتَ أحسنَ من هاذا البيت؟,"When he got to the palace known as al-Mukhtar, he was pleased with it, so he began to inspect it more closely and asked me whether I had seen anything more beautiful than this building."
34,قلت: يُمتِّعُ اللهُ أميرَ المؤمنين به، وتكلَّمتُ بما حَضَرني.,"I replied, “May God make the Commander of the Faithful enjoy it”, and expressed whatever (praise) came to my mind."
35,وكانتْ فيه صُوَرٌعجيبة، من جملتها صورةُ بَيْعةٍ فيها الرهبانُ، وأحسنُها صورة شهّار البيعة،,"It had some wonderful paintings. One of them was of a church with monks in it, and the best was of the priests who officiate at night."
36,ثم أمر بفرْشِ الموضعِ وإصلاحِ المجلس، وحضَر الندماءُ والمغنّون، وأخذنا في الشُّرْب،,"Then he gave orders for the place to be furnished and preparations to be made for the gathering. The boon companions and singers arrived, and we began to drink."
37,فلمّا انتشى أخذ سِكّيناً لطيفاً كانتْ بين يديْه، وكتب على الحائط كأني أراه:,"When he became intoxicated, he took a small knife he found in front of him and wrote the following on the wall. I can still see him do it."
38,مــا رأينـــــا كَبَهْجَـــةِ المختـــارِ         لا ولا مثلَ صورة الشَهّـارِ,"We never saw anything like the splendor of al-Mukhtar, nor anything like the painting of the night priest."
39,مجلسٌ حُفَّ بالسرورِ والنرجس         والآسِ والغِنـــا والبٓهـــــارِ,"A gathering surrounded by delight, narcissi, myrtle, singing, and sweet aroma!"
40,ليـــس فيــــه عَيْـــبٌ ســوى أنّ         ما فيه سيفنيه نازِلُ المقـدارِ,"It is perfect, except that the reverses of fate will destroy what is in it."
41,فقلنا: يُعيذُ اللهُ أميرَ المؤمنين ودولتَه من هاذا. وَوَجَمْنا.,"We said, “May God preserve the Commander of the Faithful and his dynasty from that” and felt dejected."
42,فقال: شأنكم وما واتاكم فما يقدّمُ قولي خيْراً ولا يؤخر شرّاً.,"He said, “Think what you like. What I say will not make good come any sooner or evil any later”."
43,4- قال: واجتزتُ منذ سُنيّاتٍ بسرّ مَنْ رأى، فرأيتُ بقايا هاذا البيت وعلى حائطٍ من حيطانه مكتوب:,"4. He said, Some years ago I passed by Surra Man Ra’a and saw the remains of this room. On one of its walls somebody had written"
44,هاذي ديارُ ملوكٍ دَبّـروا زمنـــاًأمْرَ البلادِ وكانوا سادةَ العَــرَبِ,This is the abode of kings who managed the affairs of countries for a time and who were the chiefs of the Arabs.
45,عصى الزمانُ لهمْ من بعد طاعتهفانظر إلى فِعْلِه بالجوْسَقِ الخَرِبِوبَرْكَوَارا وبالمختـــار قد خَلَيـــامن ذالكَ العِزِّ والسلطانِ والرُّتَــبِ,"Having first obeyed them, time rebelled against them. See what it has done to the ruined palace of Jawsaq and Barkuwara and al-Mukhtar, which have all been emptied of that glory, power, and rank."
46,5- وحدّثني أبو عبد الله الواسطيّ الشاعرُ المعروف بابن الآجرّي قال:,"5. Abu Abdallah alWasiti, the poet known as Ibn al-Ajurri, told me the following."
47,كنت أعاشرُ جماعةً من أهل الظرف وأولاد الرؤساء ونجتمعُ على الشراب دائماً.,I used to frequent a group of sophisticated people and sons of leading men. We were constantly getting together to drink.
48,فدعانا فتىً منهم إلى العُمْر الذي في أسْفَلِ مدينة واسط، ويُعرف العُمْرُ بعُمْرِ سفر يشوع.,A young man from among them invited me to visit the monastery in the lower part of the city of Wasit known asthe Monastery of the Book of Joshua.
49,فمضينا ومعنا من الغناء والآلةِ والشراب كلُّ شئٍ ظريف، وأقمنا بالعُمْرِ ثلاثةَ أيّام، ومضت لنا به أوقاتٌ طيبة،,"We went there accompanied by everything elegant in the way of singers, musical instruments, and wine and stayed at the monastery for three days, having a good time."
50,وانصرفنا في اليوم الرابع وتفرقنا بعد ذلك للمعايش والمتصرِّفات.,"On the fourth day we left, and thereafter we separated to pursue our livelihood and our occupations."
51,فلما كان بعد ذلك بشهور دُعينا إلى العُمْر، فلما حصلنا في القلّاية التي كنا شربْنا فيها في تلك الدُفْعَة قال لنا الفتى: ألا أخبرُكم بحالي بعدكم؟,"Some months later we were invited to the monastery again. When we got to the cell in which we had done our drinking on the previous occasion, the priest said to us, “May I tell you what happened to me after you left?”"
52,قلنا: بلى. قال: إنكم لما انصرفتُم من عندنا جائني شابٌ له رواءٌ وَمنظرٌ حَسَن، ومعه غلامُ نظيفُ الوجه في مثل زيّه، أحسبُه حبيباً له.,"We said yes. He said, “When you left, a young man of comely looks and handsome appearance came here together with a good-looking boy who was wearing clothes {similar to} his and whom I assumed to be his beloved."
53,فقال لي: أين الفتيان الذين كانوا عندك مجتمعين؟ فقلتُ: غَلَّسوا في الانصرافِ.,He asked me where the young men who had been gathering here had gone and I told him that you had left before daybreak.
54,فحزن وتَبَيَّنْتُ الكآبةَ في وجهه.,He was saddened and his unhappiness showed in his face.
55,ثم سألني عن حالكم، وما صنعتم، وكم أقمتم. فحدّثتُه، فانبسط، واستدعى ما أكلَ هو وصاحبُه،,"Then he asked me about you, what you did and how long you had stayed, so I told him. He cheered up and called for food for himself and his companion."
56,أين تلك العهــودُ يا غــدّاره        والكلامُ الرقيقُ تحت المنارهْ,"Where are all those pledges, 0 traitor, and the sweet talk under the minaret!"
57,فلما كان في اليوم الرابع ودّعني وأخذ فحمة وكتب على حائط البيت شعراً، وقال: إنْ عادوا أوقِفْهم عليه، وانصرف.,"On the fourth day he said goodbye to me, took a piece of coal and wrote some verses on the wall of the house, saying, ‘If they come back, show it to them’. Then he left”."
58,وسألتُ القَسَّ ما فعلـوا            فأجـاب القَــسُّ بالعَـجـــبِفَفَعلنـا مثـلَ فِعْـلِكــُـــمُ             وشرَبْنـا مـن دَمِ العِنـَــــبِبنتَ كَرْمِ عُتّقتْ زمنـاً             مُنْذُ عَهْدِ اللّاتِ والنُصُــبِ,"I asked the priest what you did and he gave an amazing answer. So we followed suit and drank from the blood of grapes, a daughter of vine who had been left to mature since the time of Allat and the sacrificial stones."
59,وجنَيْنا الحلوَّ من ثمـرٍ             وأكلنــا يانـــعَ الــرُّطَــــبِوتفرَّقَنا على مَضَضٍ              كُلّنـا يدعـــــو بواحَرَبـــي,"We gathered sweet fruit and ate ripe dates, and we dispersed unwillingly, each one of us lamenting loudly."
60,فلما عُدنا إلى واسط بحثنا عن الرجل فلم نعرفْ له خبراً، فعلمنا أنّه غريبٌ اجتاز بالبلد.,"When we returned to Wasit we made enquiries about this man, but we did not find out anything about him, so we knew that he was a stranger who had passed by the city."
61,قد علمنـا بأنــه كــان زوراً        واختلاقــاً ونَغْشــةً وعِيــاره,"We know that it was all falsehood, fabrication, lying, and swindling."
62,وإذا على صدر الطلسم كتابةٌ يَلوح فيها هاذان البيتان:تَعَبٌ يطولُ لطامعٍ في نَيْل ما        أمسيتَ جامعة فقل لا تطمعواسترزقِ اللهَ العلــيّ مكانــه        وَدَعِ التطلّبَ للمطالبِ واقنعِ,"On the chest of the talisman there was an inscription of which these two verses were visible:It is a long toil for him who covets the acquisition of what you have come to gather. So say: do not covet. Seek your daily bread from God, whose abode is elevated; leave off the search for treasures and be content."
