,Arabic,English
0,(خطْبَة الْكتاب) (الْمُقدمَة),Introductory Words
1,الْحَمد لله حمدا يسْتَحقّهُ بعلو شَأْنه، وسبوغ إحسانه، وَالصَّلَاة على سيدنَا مُحَمَّد النَّبِي وَآله وَسَلَامه.,"In the first place we render thanks to Allah, for the very excellence of the order of His creation, and the abundance of His benefits. His mercies are upon all the prophets."
2,(وَبعد) فقد التمس مني بعض خلص إخْوَانِي، وَمن يلْزَمنِي إسعافه بِمَا يسمح بِهِ وسعي أَن أصنف فِي الطِّبّ كتابا مُشْتَمِلًا على قوانينه الْكُلية والجزئية اشتمالا يجمع إِلَى الشَّرْح والاختصار وَإِلَى إِيفَاء الْأَكْثَر حَقه من الْبَيَان الإيجاز فأسعفته بذلك.,"In the next place, I may say that it is at the request of one of my very special friends, one whom I feel most bound to consider, that I prepare this book on Medicine, setting forth its general and particular laws to the full extent necessary, and yet with apt brevity."
3,وَرَأَيْت أَن أَتكَلّم أَولا فِي الْأُمُور الْعَامَّة الْكُلية فِي كلا قسمي الطِّبّ، أَعنِي الْقسم النظري، وَالْقسم العملي، ثمَّ بعد ذَلِك أَتكَلّم فِي كليات أَحْكَام قوى الْأَدْوِيَة المفردة. ثمَّ فِي جزئياتها.,"My plan is to deal with the general aspects of each of the two divisions of medicine the speculative and the practical. Then I shall treat of the general principles applicable to the diagnosis of the properties of the simples, following this with a detailed account of them."
4,ثمَّ بعد ذَلِك فِي الْأَمْرَاض الْوَاقِعَة بعضو عُضْو، فأبتدئ أَولا بتشريح ذَلِك الْعُضْو ومنفعته، وَأما تشريح الْأَعْضَاء المفردة البسيطة فَيكون قد سبق مني ذكره فِي الْكتاب الأول الْكُلِّي وَكَذَلِكَ مَنَافِعهَا. ثمَّ إِذا فرغت من تشريح ذَلِك الْعُضْو ابتدأت فِي أَكثر الْمَوَاضِع بِالدّلَالَةِ على كَيْفيَّة حفظ صِحَّته.,"Then I shall take up the disorders which befall each individual member, beginning with an account of its anatomy, and that of its auxiliary. The anatomy of the several members and their auxiliaries is dealt with in the first book. Having completed the account of the anatomy, I shall show how the health of the member is to be maintained."
5,ثمَّ دللت بالْقَوْل الْمُطلق على كليات أمراضه وأسبابها وطرق الاستدلالات عَلَيْهَا وطرق معالجاتها بالْقَوْل الْكُلِّي أَيْضا فَإِذا فرغت من هَذِه الْأُمُور الْكُلية أَقبلت على الْأَمْرَاض الْجُزْئِيَّة، ودللت أَولا فِي أَكْثَرهَا أَيْضا على الحكم الْكُلِّي فِي حَده وأسبابه ودلائله، ثمَّ تخلصت إِلَى الْأَحْكَام الْجُزْئِيَّة.,"This subject being completed, I proceed to a general discourse about general diseases their causes, the signs by which they are recognized, and the modes of treatment. After this, I pass on to the special diseases and will point out in as many cases as possible the general diagnosis of their characters, causes and signs, the special diagnostic features."
6,ثمَّ أَعْطَيْت القانون الْكُلِّي فِي المعالجة، ثمَّ نزلت إِلَى المعالجات الْجُزْئِيَّة بدواء، دَوَاء بسيط أَو مركب.,"the general rules of treatment, the special methods of treatment by simples, compounded medicines."
7,وَمَا كَانَ سلف ذكره من الْأَدْوِيَة المفردة ومنفعته فِي الْأَمْرَاض فِي كتاب الْأَدْوِيَة المفردة فِي الجداول والأصباغ الَّتِي أرى اسْتِعْمَالهَا فِيهِ، كَمَا تقف أَيهَا المتعلم فيع إِذا وصلت إِلَيْهِ، لم أكرر إِلَّا قَلِيلا مِنْهُ.,I include specially designed tables under the subject of simples to enable you to survey the facts rapidly as to the adjuvants for treating disease by simples.
8,وَمَا كَانَ من الْأَدْوِيَة المركبة أَن مَا الأحرى بِهِ أَن يكون فِي الأقراباذين الَّذِي أرى أَن أعمله أخرت ذكر مَنَافِعه وَكَيْفِيَّة خلطه إِلَيْهِ.,"Compounded medicines, and their adjuvants, and how to mix them I have deemed it best to consider separately in a “ Formulary.”"
9,وَرَأَيْت أَن أفرغ عَن هَذَا الْكتاب إِلَى كتاب أَيْضا فِي الْأُمُور الْجُزْئِيَّة، مُخْتَصّ بِذكر الْأَمْرَاض الَّتِي إِذا وَقعت لم تخْتَص بعضو بِعَيْنِه، ونورد هُنَالك أَيْضا الْكَلَام فِي الزِّينَة، وَأَن أسلك فِي هَذَا الْكتاب أَيْضا مسلكي فِي الْكتاب الجزئي الَّذِي قبله.,This it is my intention to compose after the special subjects are dealt with. Disorders not confined to one member are described in this book; the cosmetics are spoken of; and the knowledge set forth in previous books is assumed..
10,فَإِذا تهَيَّأ بِتَوْفِيق الله تَعَالَى الْفَرَاغ من هَذَا الْكتاب، جمعت بعده كتاب الأقراباذين. وَهَذَا كتاب لَا يسع من يَدعِي هَذِه الصِّنَاعَة ويكتسب بهَا أَن لَا يكون جله مَعْلُوما مَحْفُوظًا عِنْده، فَإِنَّهُ مُشْتَمل على أقل مَا لَا بُد مِنْهُ للطبيب، وَأما الزِّيَادَة عَلَيْهِ فَأمر غير مضبوط.,"Allah helping me to complete this volume, the formulary will! be added to it. Every follower of my teachings who wishes to use them profitably should memorize most of this work, even though he do not quite understand it all."
11,وَإِن أخر الله تَعَالَى فِي الْأَجَل وساعد الْقدر انتصبت لذَلِك انتصابا ثَانِيًا. وَأما الْآن فَإِنِّي أجمع هَذَا الْكتاب وأقسمه إِلَى كتب خَمْسَة على هَذَا الْمِثَال: الْكتاب الأول: فِي الْأُمُور الْكُلية فِي علم الطِّبّ.,"It is my intention to prepare further volumes if Allah should prolong my life still further, and if circumstances prove propitiou . Book I. General matters relative to the science of medicine."
12,الْكتاب الثَّانِي: فِي الْأَدْوِيَة المفردة. الْكتاب الثَّالِث: فِي الْأَمْرَاض الْجُزْئِيَّة الْوَاقِعَة بأعضاء الْإِنْسَان عُضْو عُضْو من الْفرق إِلَى الْقدَم ظَاهرهَا وباطنها. الْكتاب الرَّابِع: فِي الْأَمْرَاض الْجُزْئِيَّة الَّتِي إِذا وَقعت لم تخْتَص بعضو وَفِي الزِّينَة. الْكتاب الْخَامِس: فِي تركيب الْأَدْوِيَة وَهُوَ الأقراباذين.,Book II. Materia medica. Book III. Special “ pathology ” (Medical and Surgical). Book IV. Special diseases involving more than one member. The cosmetic art. Book V. Formulary.
13,الْكتاب الأول الْأُمُور الْكُلية فِي علم الطِّبّ يشْتَمل على أَرْبَعَة فنون,سقطمنالنسخة
14,(الْفَنّ الأول) (فِي حد الطِّبّ وموضوعاته من الْأُمُور),PART I: The definition of medicine. The topics of medicine.
15,(الطبيعية ويشتمل على سِتَّة تعاليم),comprises six theses
16,(التَّعْلِيم الأول) ( [وَهُوَ فصلان] الْفَصْل الأول أَقُول: إِن الطِّبّ علم يتعرف مِنْهُ أَحْوَال بدن الْإِنْسَان من جِهَة مَا يَصح وَيَزُول عَن الصِّحَّة ليحفظ الصِّحَّة حَاصِلَة ويستردها زائلة. وَلقَائِل أَن يَقُول إِن الطِّبّ يَنْقَسِم إِلَى نظر وَعمل وَأَنْتُم قد جعلتم كُله نظرا إِذْ قُلْتُمْ إِنَّه علم وَحِينَئِذٍ نجيبه ونقول إِنَّه يُقَال إِن من الصناعات مَا هُوَ نَظَرِي وعملي وَمن الْحِكْمَة مَا هُوَ نَظَرِي وعملي وَيُقَال إِن من الطِّبّ مَا هُوَ نَظَرِي وعملي. وَيكون المُرَاد فِي كل قسْمَة بِلَفْظ النظري والعملي شَيْئا آخر وَلَا نحتاج الْآن إِلَى بَيَان اخْتِلَاف المُرَاد فِي ذَلِك إِلَّا فِي الطِّبّ,سقطمنالنسخة
17,فَإِذا قيل إِن من الطِّبّ مَا هُوَ نطري وَمِنْه مَا هُوَ عَمَلي فَلَا يجب أَن يظنّ أَن مُرَادهم فِيهِ هُوَ أَن أحد قسمي الطِّبّ مَا هُوَ نَظَرِي وَمِنْه مَا هُوَ عَمَلي فَلَا يجب للْعَمَل كَمَا يذهب إِلَيْهِ وهم كثير من الباحثين عَن هَذَا الْموضع,"When, in regard to medicine, we say that practice proceeds from theory, we do not mean that there is one division of medicine by which we know, and another, distinct therefrom, by which we act."
