,Arabic,English
0,ذكر فتح مدينة بيت المقدس,March on Baytul Muqaddas (Jerusalem)
1,قال الواقدي: واما ما كان من المسلمين فانهم اقاموا على دمشق شهرا فجمع أبو عبيدة امراء المسلمين وقال لهم: أشيروا علي بما أصنع وأين أتوجه,"After the Muslim armies had been in Damascus for a month, Abu ‘Ubaydah summoned all the generals and said, “Advise me as to what I should do and where I should turn my attention to.”"
2,فاتفق رأي المسلمين أما إلى قيسارية وأما إلى بيت المقدس,It was decided between either Caesarea or Baytul Muqaddas.
3,فقال فما الذي ترون منهما,Abu ‘Ubaydah: So which of the two should it be?
4,فقالوا: أنت الرجل الأمين وما تسير إلى موضع إلا ونحن معك,Generals: You are the trusted one. Wherever you go we will follow.
5,فقال معاذ بن جبل اكتب إلى أمير المؤمنين عمر بن الخطاب فحيث أمرك فسر واستعن بالله,"Mu‘ath bin Jabal: Write to ‘Umar bin al-Khattab, the Commander of the Believers. Go wherever he tells you to and seek Allah’s help."
6,فقال أصبت الرأي يا معاذ فكتب إلى أمير المؤمنين عمر ابن الخطاب يعلمه إنه قد عزم على قيسارية أو إلى بيت المقدس وانه منتظر ما يأمره به والسلام وأرسل الكتاب مع عرفجة بن ناصح النخعي وأمره بالمسير فسار حتى وصل المدينة فأرسل الكتاب لعمر رضي الله عنه فقرأه على المسلمين واستشارهم في الأمر,"Abu ‘Ubaydah: O Mu‘ath, your view is sound.So he wrote to him to inform him that he had resolved upon going either to Caesarea or Baytul Muqaddas and asked which of the two he should invade. ‘Umar read the letter out to the Muslims and asked for their views."
7,فقال علي رضي الله عنه يا أمير المؤمنين مر صاحبك أن يصير إلى بيت المقدس فيحدقوا بها ويقاتلوا أهلها فهو خير الرأي وأكبره وإذا فتحت بيت المقدس فاصرف جيشه إلى قيسارية فإنها تفتح بعد أن شاء الله تعالى كذا أخبرني رسول الله صلى الله عليه وسلم,"‘Ali: O Commander of the Believers, order your man to go to Baytul Muqaddas to besiege her and fight her people. This is the best option. Thereafter, if Allah Most High wills, He will conquer Caesarea. This is what Rasulullah told me."
8,قال صدقت يا أبا الحسن,"‘Umar: You have spoken the truth, Abu al-Hasan."
9,فكتب إليه بسم الله الرحمن الرحيم من عبد الله عمر بن الخطاب إلى عامله بالشام ابي عبيدة أما بعد فاني أحمد الله الذي لا إله إلا هو وأصلي على نبيه,He then wrote the following letter:
10,وقد ورد علي كتابك وفيه تستشيرني في أي ناحية تتوجه إليها وقد اشار ابن عم رسول الله صلى الله عليه وسلم بالسير إلى بيت المقدس فإن الله سبحانه وتعالى يفتحها على يديك والسلام عليك,"I have received your letter which asks as to which direction you should advance in. The cousin of Rasulullah recommends that you march on Baytul Muqaddas for Allah, Most Pure and High will conquer her through you."
