,Arabic,English
0,كشف الكربة في وصف أهل الغربة,KASHF ALKURBAH FI WASFI HALL AHLFLGHURBAH
1,بسم الله الرحمن الرحيم,With Name of Allah the AllMercifuly the Most Merciful.
2,الحمد لله رب العالمين حمدًا كثيرًا طيبًا مباركًا فيه كما يحب ربنا ويرضى وكما ينبغي لكرم وجهه وعز جلاله، وصلى الله على سيدنا محمد وعلى آله وصحبه وسلم تسليمًا.,"All praise and thanks be to Allah, the Lord of the worlds; a praise that is pure and inherendy blessed, as our Lord loves and is pleased with, as befits the nobility of His face and the greatness of His Majesty. Abundant peace and blessings be upon our master, Muhammad, his family and his Companions."
3,خرج مسلم في ” صحيحه ” من حديث أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال: «بدأ الإسلام غريبًا وسيعود غريبًا كما بدأ، فطوبى للغرباء».,"23. Muslim records on the authority of Abu Hurayrah that the Prophet said, “Islam began as something strange and it shall return to being something strange just as it began, so tuba for the strangers.”"
4,وخرجه الإمام أحمد وابن ماجه من حديث ابن مسعود بزيادة في آخره وهي: «قيل: يا رسول الله! ومن الغرباء؟ قال: النزاع من القبائل».,"25. Imam Ahmad and ibn Majah record this hadith on the authority of ibn Mas‘ud with the following addition, “…It was asked, ‘Messenger of Allah, who are they?’ He replied, ‘Those who have departed from the tribes.’”"
5,وخرجه أبو بكر الآجري وعنده: «قيل: ومن هم يا رسول الله؟ قال: الذين يصلحون إذا فسد الناس».,"26. Abu Bakr alAjurri also records this and his wording is, “…It was asked, ‘Messenger of Allah, who are they?’ He replied, ‘Those who rectify the affairs at a time when the people become corrupt.’”"
6,وخرجه غيره وعنده: «قال: الذين يفرون بدينهم من الفتن».,"27. Others record it with the wording, “Those who flee from trials and tribulations to safeguard their religion.”"
7,وخرجه الترمذي من حديث كثير بن عبد الله المزني عن أبيه عن جده عن النبي صلى الله عليه وسلم: «إن الدين بدأ غريبًا، وسيرجع غريبًا، فطوبى للغرباء الذين يصلحون ما أفسد الناس من سنتي».,"28. TirmidhI records on the authority of Kathlr ibn ‘Abdullah alMuzam; from his father; from his grandfather that the Prophet said, “The religion began as something strange and shall return to being something strange, so tuba to the strangers: those who correct what the people have corrupted of my Sunnah after me.”"
8,وخرجه الطبراني من حديث جابر عن النبي صلى الله عليه وسلم، وفي حديثه: «قيل: ومن هم يا رسول الله؟ قال: الذين يصلحون حين فساد الناس».,"29. TabaranI records on the authority of Jabir that the Prophet said, “…those who rectify the affairs when the people are corrupt.”"
9,وخرجه أيضًا من حديث سهل بن سعد بنحوه.,30. He also records a similar hadith on the authority of Sahl ibn Sa(d.
10,وخرجه الإمام أحمد من حديث سعد بن أبي وقاص عن النبي صلى الله عليه وسلم وفي حديثه: «فطوبى يومئذ للغرباء إذا فسد الناس».,"31. Imam Ahmad records the hadlth of Sa(d ibn Abu Waqqas that the Prophet said, “…so tuba to the strangers on that day when the people become corrupt.”"
11,وخرج الإمام أحمد والطبراني من حديث عبد الله بن عمرو عن النبي صلى الله عليه وسلم قال: «طوبى للغرباء، قلنا: ومن الغرباء؟ قال: قوم قليل في ناس سوء كثير، من يعصيهم أكثر ممن يطيعهم».,"32. Imam Ahmad and Tabarani record the hadlth of ‘Abdullah ibn (Amr that the Prophet said, “Tuba for the strangers!” We asked, ‘Who are the strangers?’ He replied, “A small number of righteous people amongst a large number of evil people, those who disobey them are more than those who obey them.”"
12,وروي عن عبد الله بن عمرو مرفوعًا وموقوفًا في هذا الحديث: «قيل: ومن الغرباء؟ قال: الفرارون بدينهم يبعثهم الله تعالى مع عيسى ابن مريم عليه السلام».,"33. Another wording of this hadlth is also reported on the authority of ‘Abdullah ibn (Amr, both from the Prophet ($jg) and as his own words, ‘…It was asked, “Who are the strangers?” He replied, “Those who flee in order to safeguard their religion; Allah, Most High, will resurrect them with ‘Isa ibn Maryam.’”"
13,قوله: «بدأ الإسلام غريبًا» يريد به أن الناس كانوا قبل مبعثه على ضلالة عامة,"By saying, “Islam began as something strange,” he  was referring to the fact that people, before his being commissioned, were upon widespread misguidance;"
14,كما قال النبي صلى الله عليه وسلم في حديث عياض بن حمار الذي أخرجه مسلم: «إن الله نظر إلى أهل الأرض فمقتهم، عربهم وعجمهم إلا بقايا من أهل الكتاب».,"34. Muslim records on the authority of ‘Iyad ibn Himar that the Prophet said, “Allah looked to the inhabitants of the earth and was angry at them, the Arab and nonArab, except for some remnants of the People of the Book.”"
15,فلما بعث النبي صلى الله عليه وسلم ودعا إلى الإسلام لم يستجب له في أول الأمر إلا الواحد بعد الواحد من كل قبيلة، وكان المستجيب له خائفًا من عشيرته وقبيلته، يؤذى غاية الأذى، وينال منه وهو صابر على ذلك في الله عز وجل،,"When the Prophet was commissioned and began the call to Islam, only a few individuals responded, a person in this tribe and a person in that tribe. The person who responded lived in fear of his family and tribe and faced harrowing persecution and defamation; however he would remain steadfast and patient for the sake of Allah, Mighty and Magnificent."
16,وكان المسلمون إذ ذاك مستضعفين يشردون كل مشرد ويهربون بدينهم إلى البلاد النائية كما هاجروا إلى الحبشة مرتين ثم هاجروا إلى المدينة، وكان منهم من يعذب في الله ومنهم من يقتل، فكان الداخلون في الإسلام حينئذ غرباء،,"At that time the Muslims were weak and would be assaulted, ostracised and spurned; they were forced to flee to distant lands in order to safeguard their religion as can be seen in their migration to Abyssinia on two occasions and the subsequent migration to Madlnah. Amongst them were those who were tortured and those who were slain; all those who accepted Islam at that time became strange."
17,ثم ظهر الإسلام بعد الهجرة إلى المدينة وعز وصار أهله ظاهرين كل الظهور، ودخل الناس بعد ذلك في دين الله أفواجا، وأكمل الله لهم الدين وأتم عليهم النعمة.,"After the migration to Madlnah, Islam became ascendant and strong, its followers became dominant and people began to accept the religion in droves. Allah granted the religion ascendancy and completed His favour upon them."
18,وتوفي رسول الله صلى الله عليه وسلم والأمر على ذلك، وأهل الإسلام على غاية من الاستقامة في دينهم، وهم متعاضدون متناصرون، وكانوا على ذلك في زمن أبي بكر وعمر رضي الله عنهما.,"After the death of the Prophet, during the rule of Abu Bakr and ‘Umar, may Allah be wellpleased with them, this situation remained unaltered."
19,[فتنتا الشبهات والشهوات],The Tribulation of Doubts and Desires
