,Arabic,English
0,النوادر السلطانية والمحاسن اليوسفية,The Rare and Excellent History of Saladinoral-Nawadir al-Sultaniyya wa ‘l-Mahasin al-YusufiyyabyBaha’ al-Din Ibn Shaddad
1,بسم الله الرحمن الرحيم,"In the name of God the Merciful, the Compassionate"
2,«الحمد لله» الذي منَّ علينا بالإسلام، وهدانا بالإيمان الجاري على أحسن نظام، وأنعم علينا بشفاعة نبينا محمد عليه أفضل الصلاة والسلام، وجعل سير الأوَّلين عبرة لأولي الأفهام، وتقلبات الأحوال قاضية على كل أمرٍ حادثٍ بالانصرام؛ كيلا يغترَّ ذو جمال حسنٍ، ولا ييأس من لعبت بأحواله أكف السقام.,"Praise be to God, who bestowed Islam upon us and guided us to the Faith, which continues in the fairest path, and who granted us the intercession of our Prophet, Muhammad (upon whom be the best of blessing and peace), and who made the lives of the early generations a model for those of understanding and who made the vicissitudes of life condemn every contingent state to pass away, in order that a fortunate man might not be misled and that one whose life the blows of sickness have trifled with might not despair."
3,«وأشهد» أن لا إله إلا الله وحده لا شريك له شهادةً تشفي القلوب من لظى الأوام،,"I testify that there is no god but God alone, who has no partner, a testimony which quenches hearts’ burning thirst."
4,«وأشهد» أن سيدنا محمدًا عبده ورسوله الذي فتح للهداية أبوابًا,"I testify that our Lord Muhammad is His servant and prophet, who opened doors to true guidance."
5,يلج المستفتحون لها بمفاتيح الانقياد والاستسلام،,Those who seek to open them must persevere with keys of obedience and submission.
6,صلى الله عليه وعلى آله صلاةً دائمةً ببقاء الأيام.,God bless him and his family with eternal blessings that last as long as time itself.
7,«وبعد»:فإني لما رأيت أيام مولانا السلطان، الملك الناصر جامع كلمة الإيمان، وقامع عبدة الصلبان، رافع علم العدل والإحسان، صلاح الدنيا والدين، سلطان الإسلام والمسلمين، منقذ بيت المقدس من أيدي المشركين، خادم الحرمين الشريفين أبي المظفر يوسف بن أيوب بن شاذي — سقى الله ضريحه صوب الرضوان، وأذاقه في مقرِّ رحمته نتيجة الإيمان؛ قد صدَّقت من أخبار الأوَّلين ما كذَّبه الاستبعاد،,"When I observed the days of our Lord the Sultan al-Malik al-Nasir, the uniter of Islam, the suppressor of the worshippers of the cross, the standard bearer of justice and fairness, Salah al-Dunya wa’l-Dln, sultan of Islam and the Muslims, deliverer of Jerusalem from the hands of the polytheists, the servant of the Two Noble Sanctuaries, Abu’LMuzaffar Yusuf ibn Ayyub ibn Shadl (may God moisten his resting-place with the dew of His good pleasure and let him taste at the seat of His mercy the sweet reward of faith), I came to believe the tales of early generations that improbability called false."
8,وشهدت بالصحة لما رُوي من نوادر الكرام الأجواد، وحققت وقعات شجعان مماليكها ما قدحت فيه الشكوك من أخبار الشجعان،,"I bore witness to the genuineness of the rare stories told of noble heroes, while the deeds of the brave mamlukes of his days confirmed the tales of [past] champions that doubts impugned."
9,ورأيت بالعيان من الصبر على المكاره في ذات الله ما قوي بهذا الإيمان،,I saw with my own eyes such endurance of hardships for the sake of God as strengthened my belief in such tales.
