,Arabic,English
0,بسم الله الرحمن الرحيم,IN THE NAME OF GOD THE MERCIFUL ONE
1,قال الشيخ الفقيه، العالم الثقة النبيه، الناسك الأبر، وفد الله المعتمر، شرف الدين المعتمد في سياحته على رب العالمين، أبو عبد الله محمد بن عبد الله بن محمد بن إبراهيم اللواتي، ثم الطنجي المعروف بابن بطوطة، رحمه الله ورضي عنه بمَنِّه وكرمه، آمين.,"THE COMPASSIONATE THESE are the words of the learned doctor of law, the trustworthy, the guest of illustrious, God and visitor godly and to His most sanctuary, pious shaikh, the honour of the Faith, who in his travels stayed himself upon the Lord of the Universe, Abu ‘Abdallah Muhammad ibn ‘Abdallah ibn Muhammad ibn Ibrahim al-Lawati al-Tanji, known as Ibn Battuta, may God have mercy on him and be pleased with him through His grace and bounty. Amen."
2,الحمد لله الذي ذلَّل الأرض لعباده ليسلكوا منها سبلًا فجاجًا، وجعل منها وإليها تاراتهم الثلاث نباتًا وإعادة وإخراجًا، دحاها بقُدْرَته فكانت مهادًا للعباد، وأرساها بالأعلام الراسيات والأطواد، ورَفَعَ فوقها سمْك السماء بغير عماد، واطلع الكواكب هداية في ظلمات البر والبحر، وجعل القمر نورًا والشمس سراجًا، ثم أنزل من السماء ماء فأحيا به الأرض بعد الممات، وأنبت فيها من كل الثمرات، وفطر أقطارها بصنوف النبات، وفَجَّرَ البحرين عذبًا فراتًا، ومِلْحًا أجاجًا، وأَكْمَلَ على خَلْقِه الإنعام؛ بتذليل مطايا الأنعام، وتسخير المنشآت كالأعلام؛ لتمتطوا من صهوة القفر ومَتْن البحر إثباجًا،,"Praise be to God, Who hath subdued the earth to His servants that they may tread spacious ways therein, and hath ordained therefrom and thereunto their three stages of growth, return, and extraction; Who hath spread it out by His power so that it became as a smooth bed for His servants, and hath held it firm by immovable ranges and mountains, and raised above it the canopy of the sky without pillars; Who hath made the stars to rise for guidance in the darknesses of land and sea, and hath set the moon as a light and the sun as a lamp; Who hath made also water to descend from the heavens and hath revived the earth therewith after its death and hath made fruits of every sort to grow thereon; Who hath created its regions with diversities of plants and made channels for the two seas, fresh sweet water and bitter salt water; Who hath made perfect his bounty towards His creatures by subduing the beasts of the field for their carriage and the vessels upraised like mountains to their control that they may bestride the ridge of the wilderness and ride upon the deeps of the ocean."
3,وصلى الله على سيدنا ومولانا محمد الذي أوضح للخلق منهاجًا، وطلع نور هدايته وَهَّاجًا، بعثه الله تعالى رحمة للعالمين، واختاره خاتمًا للنبيين، وأمكن صوارمه من رِقَاب المشركين، حتى دخل الناس في دين الله أفواجًا، وأيده بالمعجزات الباهرات، وأَنْطَقَ بتصديقه الجمادات، وأحيا بدعوته الرمم الباليات، وفجَّرَ من بين أنامله ماء ثجاجًا،,"May God visit with His Blessing our lord and master Muhammad, His Apostle, who made plain for His creatures an Highway and brought the light of His guidance to shine forth in splendour; whom God Most High sent as a token of mercy to the worlds and chose to be seal to the Prophets; whose falchions He empowered over the necks of the polytheists so that the peoples entered into the Faith of God in multitudes; whom He aided by surpassing miracles, giving speech to inanimate things that they might testify to the truth of his mission, restoring life at his prayer to rotten bones, and causing water to gush forth from between his fingers."
4,ورضي الله تعالى عن المتشرفين بالانتماء إليه أصحابًا وآلًا وأزواجًا، المقيمين قتاة الدين فلا تخشى بعدهم اعوجاجًا، فهم الذين آزَرُوهُ على جهاد الأعداء، وظاهَرُوهُ على إظهار الملة البيضاء، وقاموا بحقوقها الكريمة من الهجرة والنصرة والأبواء، واقتحموا دونه البأس حامية، وخاضوا بحر الموت عجاجًا،,"May God Most High be pleased with those who are ennobled by claim to association with him, as companions, descendants, and wives; who made straight the lance of the Faithso that we should not fear crookedness after them; for these are they who seconded him in striving against the enemies of the Faith, and aided him to the triumph of the unspotted religion; who carried out its noble obligations of emigration, succour, and asylum, and who threw themselves in his defence into a burning fire of war and plunged into a boisterous sea of death."
5,ونستوهب الله تعالى لمولانا الإمام الخليفة أمير المؤمنين، المتوكل على رب العالمين، المجاهد في سبيل الله، المؤيَّد بنصر الله، أبي عنان فارس ابن موالينا الأئمة المهتدين، الخلفاء الراشدين، نصرًا يوسع الدنيا وأهلها ابتهاجًا، وسعدًا يكون لزمانة الزمان علاجًا. كما وهبه الله بأسًا وجودًا لم يدع طاغيًا ولا محتاجًا، وجعل بسيفه وسيبه لكل ضيقة انفراجًا،,"We pray God Most High for our master, the Caliph-Imam, the Commander of the Faithful, who places his trust in God the Lord of the Universe, who strives [against the infidels] in the Path of God, who is strengthened by the help of God, Abu ‘Inan Paris, the descendant of our masters the rightly guided Imams and orthodox Caliphs, that He will bestow upon him such succour as will fill the world and its peoples with joy, and such prosperity as will prove a remedy for the crippling disease of the age, as He hath bestowed upon him might which hath spared no oppressor and generosity which hath neglected no needy one, and hath made by his sword and his beneficence a means of issue from every distress."
6,«وبعد»؛ فقد قضت العقول، وحكم المعقول والمنقول، بأن هذه الخلافة العلية، المجاهدة المتوكلية الفارسية، هي ظل الله الممدود على الأنام، وحبله الذي له الاعتصام وفي سلك طاعته يجب الانتظام،,"To proceed, it has been pronounced by all intellects and determined by arguments which appeal to reason and to traditional lore that this sublime and Faith-championing Caliphate of Paris al-Mutawakkil is indeed the Shadow of God which is extended over mankind, and His rope whereon to lay hold, and in the ranks of obedience to whom it is incumbent to range oneself."
7,فهي التي أَبْرَأَت الدين عند اعتلاله، وأَغْمَدَت سيف العدوان عند انسلاله، وأصلحت الأيام بعد فسادها، ونفقت سوق العلم بعد كسادها، وأوضحت طرق البر عند إنهاجها، وسكنت أقطار الأرض عند ارتجاجها، وأحيت سُنَن المكارم بعد مماتها، وأماتت رسوم المظالم بعد حياتها، وأخمدَتْ نار الفتنة عند اشتعالها، ونقضت أحكام البغي عند استقلالها، وشادت مباني الحق على عماد التقوى، واستمسكَتْ من التوكل على الله بالسبب الأقوى،,"For this Caliphate it is which has brought healing to the Faith in its hour of sickening, and has forced back into its scabbard the sword of hostility in its hour of unsheathing, which has restored soundness to the days after they had fallen into disorder, and brought back prosperity to the bazaar of learning after it had grown sluggish, which has made plain the ways of piety when they were obliterated, and restored tranquillity to the regions of the earth when they were in commotion, which has brought to life the ancient usages of generosity after their death, and has put to death the practices of tyranny after their flourishing life, which has extinguished the fire of discord at its moment of flaming, and overthrown the judgments of iniquity in their hour of undisputed rule, which has raised the edifices of e rectitude upon the pillars of God-fearing, and has laid firm hold of the strongest stay by placing its trust in God."
8,فلها العز الذي عَقَدَ تاجه على مفرق الجوزاء، والمجد الذي جَرَّ أذياله على مجرة السماء، والسعد الذي رَدَّ على الزمان غض شبابه، والعدل الذي مد على أهل الإيمان مديد أطنابه، والجود الذي قَطْر سحابه اللجين والنضار، والبأس الذي فَيْض غمامه الدم الموار، والنصر الذي تفض كتائبه الأجل، والتأييد الذي بعض غنائمه الدول، والبطش الذي سَبَقَ سيفه العذل، والأناة التي لا يمل عندها الأمل، والحزم الذي يسد على الأعداء وجوه المسارب، والعزم الذي يفلُّ جموعها قبل قراع الكتائب، والحلم الذي يجني العفو من ثمر الذنوب، والرفق الذي جَمَعَ على محبته بنات القلوب، والعلم الذي يجلو نوره دياجي المشكلات، والعمل المقيد بالإخلاص والأعمال بالنيات.,"Wherefore it is conjoined with majesty whose crown is bound upon the temples of the Twins, and with glory that sweeps with its skirts the Galaxy of heaven; with fortune that has restored to time the freshness of its youth, and with justice that has extended its protection to the household of the Faith; with generosity the distillation of whose clouds is fine silver and pure gold, and with might the outpouring of whose mists is a ram of streaming blood; with divine aid the scatterings of whose squadrons are doom, and with heavenly support but a part of whose spoils are empires; with vigour whose sword anticipates reproach, and with patience in whose presence hope grows not weary; with resolution which forbids to its enemies the well-watered pasturages, and with firmness of purpose which scatters their hosts ere the shock of its squadrons; with forbearance which gathers a harvest of righteousness from the fruit-trees of misdeeds, and with compassion which moves the thoughts of all hearts to unite in affection towards it; with knowledge whose light dispels the glooms of enigmas, and with an equity which is bounded by singleness of mind, since ‘actions are to be judged by their intentions’."
9,ولما كانت حضرته العلية مطمح الآمال، ومسرح هِمَم الرجال، ومحطَّ رحال الفضائل، ومثابة أمن الخائف ومُنْية السائل، توخى الزمان خدمتها ببدائع تُحَفه وروائع طُرَفه، فانثال عليها العلماء انثيال جودها على الصفات، وتسابَقَ إليها الأدباء تسابُق عزمانا إلى العدات،,"When his Sublime Residence became the cynosure of hopes and the pasturage of men’s aspirations, the depository of the merchandise of the virtues and concourse of the security of the affrighted and of the desire of the suppliant, the age sought to do homage to it by offering the choicest of its gifts and the rarest of its treasures, so that men of learning streamed to it as its copious rains [of generosity] stream down upon noble qualities, and men of letters contended in hastening to it as its resolves contend with one another [in bounty] towards the fulfilling of promises."
