,Arabic,English
0,مفتاح الطب ومنهاج الطلاب,THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS
1,بسم الله الرحمن الرحيم,سقطمنالنسخة
2,قال الأستاذ أبو الفرج علي بن الحسين بن هندو: تصفح إخواننا من المتعلمين مقالتي الموسومة بالمشوقة في المدخل إلى علم الفلسفة,The teacher Aba al-Faraj ‘Ali ibn al-Husayn ibn Hindu said: Some of my learned friends have looked through my work entitled “A Treatise Encouraging the Study of Philosophy”.
3,فشوقتهم سهولة المأخذ فيها إلى مقالة في الطب على نهجها، فأسعفتهم بتصنيفها، وتوخيت غاية تقريبها، وسميتها: مفتاح الطب، للدلالة على الغرض فيها,"its easily understandable style made them want a similar treatise on medicine. So I undertook to compose such a treatise for them, taking pains to make it accessible, and called it “The Key to Medicine” to indicate its objective."
4,وبوبتها عشرة أبواب، هذه تراجمها: الباب الأول: في الحث على تعلم الصناعات عموما وتعلم الطب خصوصا. الباب الثاني: في إثبات صناعة الطب.,I divided it into ten chapters under the following titles. I. On encouraging the study of professions in general and the profession of medicine in particular. II. On the importance of the profession of medicine.
5,الباب الثالث: في حد الطب. الباب الرابع: في شرف الطب. الباب الخامس: في أقسام الطب. الباب السادس: في فرق الطب.,III. On the definition of medicine. IV. On the nobility of medicine. V. On the branches of medicine. VI. On the different schools of medicine.
6,الباب السابع: في ذكر الطرق التي بها استنبطت صناعة الطب. الباب الثامن: في تعديد ما يجب على الطبيب معرفته من العلوم ليكون كاملا في صناعته.,VII. On the way in which the profession of medicine developed. VIII. On what fields of knowledge a physician should know in order to achieve perfection in his profession.
7,الباب التاسع: في كيفية تدريج المتعلم للطب، وذكر مراتب الكتب فيه. الباب العاشر: في العبارات والحدود الطبية,"IX. On how to train the medical student, and a graded list of books written on the subject. X. On medical terms and definitions."
8,ومن ها هنا نأخذ بتوفيق الله فيما قلناه، ونشرح بابا بعد باب مما عددنا.,"Now, I shall proceed with God’s help and discuss the subject chapter by chapter as enumerated in my list."
9,الباب الأول: في الحث على تعلم الصناعات عموما وتعلم الطب خصوصا,Chapter One: On encouraging the study of professions in general and the profession of medicine in particular.
10,إن القدماء لما حدوا الموجود بأنه الذي يفعل فعلا أو يقبل تأثيرا، كان من البين أن المعدوم هو الذي خالف هذه الصفة، وعدم هذه الحلية.,"When the Ancients defined the existent as that which causes an action or suffers the effect, it followed that its antithesis is non-existent and is without those qualities."
11,فمتى فرضنا الإنسان عطلا من الفعل والانفعال اللائقين بنوع الناس، كان أولى الأشياء أن يسمى بالمعدوم، ولا يمح له باسم الموجود.,"For, should we assume that a person is without the actions or reactions pertaining to mankind, then it is logical to define him as non-existent and not to describe him as existent."
12,والأفعال التي يفعلها الإنسان منها ما يشارك به البهائم، كالأكل والشرب والعدو والصراع وسائر الأفعال التي صدورها ممكن عن الإنسان وعن غيره من الحيوان.,"Some actions performed by humans are shared in common with animals, such as eating, drinking, running and fighting, as well as all other actions that can be performed by both animals and humans."
13,ومنها ما يشارك به الملائكة، مثل استفادة العلوم وتوخي الخيرات وسائر الأفعال التي تختص بالعقل وتحتاج إلى التمييز والفكر.,"There are other actions that man shares with the angels, such as reaping the benefits of knowledge, aspiring to do good, and all actions that use the intellect and need discernment and reflection."
14,فأما تلك الأفعال البهيمية، فمن الظاهر أن الإنسان لا ينال بها رتبة ولا يرتفع بها عن طبقة البهيمة. وأما الأفعال العقلية، فهي ضربان,"With regard to animal actions, it is evident that they do not confer upon man any distinction, nor do they raise him above the level of animals. As for mental actions, they comprise two categories."
15,أحدهما يمكن وقوعه من كل إنسان سليم الفطرة، ولا يحتاج فيه إلى مزاولة وممارسة، مثل أن يخيط خرقته، أو يشد الرفادة على جراحته.,One category encompasses actions that can be performed by any person with a sound disposition: a person needs no training or practice to sew up a rag or to bandage a wound.
16,وهذا أيضا ليست فيه مزية، لأن ذوي العقول فيه متشاكلون وله متداولون. والضرب الثاني ما لا يقع إلا بعد ممارسلة وتعلم ومعالجة وتفقد، وهذا أيضا ضربان,"Such deeds are not distinctive, for anyone with brains can perform them equally and well. The other category cannot be performed without practice, learning, practical application, and investigation. And this category in turn embraces two subcategories."
17,أحدهما نافع لسكان المدن وعائد بنوع من أنواع الخير. والقدرة على هذا تخص باسم الصناعة والكتابة والصياغة.,One is useful for city dwellers and brings a variety of benefits. The capability for doing such things is given the name “profession” and [examples are] calligraphy and goldsmithing.
18,والضرب الثاني ما لا نفع في ضمنه، ولا خير في ثمراته، مثل أن يتمهر الإنسان في صعود الخشب الطول وابتلاع الأحجار والمشي على قراميد السطوح.,"The second type is of no intrinsic use and has no beneficial results. Examples are: climbing up a steep wooden pole, swallowing stones, or walking on roof slates."
19,فما يجري هذا المجرى لا يجب أن يسمى صناعة، ولا أن يظن به شرف ورتبة، إذا كان لا يحوي نفعا، بل خليق بأن يورث ضررا ويصير على متعاطيه وبالا.,"Actions of the latter sort must not be called a profession nor should they be regarded as noble or elevated, for they bring no benefit but can, on the contrary, be harmful and bring evil consequences to the performer."
20,فأما الصناعات، فهي خصوصا تفيد الإنسان الشرف، وتخرجه عن مشاركة الأغمار من الناس، فضلا عن الحيوانات العادمة للنطق,"Professions, on the other hand, bring prestige to the practitioner and distinguish him from the common people not to mention animals that are bereft of the faculty of speech."
21,وبها يصير الإنسان مطيعا للبارئ عز وعلا، ومتخلصا من وصمة الجور، وآخذا ببعض أهداب السعادة المختصة بالإنسان.,"By mastering a skill, man expresses his obedience to God, the Almighty and Exalted; he escapes being branded with the stamp of unfairness, and seeks to attain a share of the happiness ordained to humans."
22,فإن الله عز وجل لما خص الإنسان بمزية العقل، وجعل العقل ذريعة له إلى حسن المعاش في الدنيا وحسن المعاد في الأخرى,"When God, the Almighty and Exalted, specifically bestowed upon man the distinctive feature of the intellect and made it a means for a better life in this world and for a good reward in the next."
23,وعلم أن كمال ذلك لا يتأتى له الشخص الواحد، بل يضطر فيه إلى التعاون والترافد، جعل الإنسان مدنيا بالطبع، وركز في شوقا إلى الاستيناس والاجتماع,"and when He found that such an objective cannot be achieved by an individual on his own, but that it needs cooperation and solidarity, He made man a city dweller by nature and implanted in him a desire for sociability, togetherness."
24,وإلى التلازم والاتفاق. والناس المجتمعون في مدينة واحدة، من سبيلهم أن يزاولوا الصناعات والحرف,solidarity and harmony. People who dwell close together in one city tend to have varying professions or skills.
